name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Casa Migrante Camino a la Vida,Centros de Atención Social,-102.3075858,21.8859981,,OSC / ONG,,ACNUR servicios
Cáritas Diocesana,Centros de Atención Social,-102.3011164,21.8821255,,OSC / ONG,,ACNUR servicios
Parroquia De Las Tres Ave Marías,Centros de Atención Social,-102.2950688,21.868025,,OSC / ONG,,ACNUR servicios
Comer del Abuelo,Centros de Atención Social,-102.299825,21.8874131,,OSC / ONG,,ACNUR servicios
Comedor San Judas Tadeo,Centros de Atención Social,-102.2957278,21.8938054,,OSC / ONG,,ACNUR servicios
Mercado Terán Juárez,Centros de Atención Social,-102.2966212,21.8845297,,OSC / ONG,,ACNUR servicios
Central de Abastos Aguascalientes,Centros de Atención Social,-102.2929618,21.8320703,,OSC / ONG,,ACNUR servicios
Instituto Municipal Aguascalentense para la Cultura,Centros de Atención Social,-102.2945313,21.8799223,,OSC / ONG,,ACNUR servicios
Instituto Cultural de Aguascalientes,Centros de Atención Social,-102.2991832,21.8812135,,OSC / ONG,,ACNUR servicios
Instituto del Deporte del Estado de Aguascalientes,Centros de Atención Social,-102.2717397,21.8806298,,OSC / ONG,,ACNUR servicios
Jardín de San Marcos,Centros de Atención Social,-102.303231,21.8795807,,OSC / ONG,,ACNUR servicios
Parque Rodolfo Landeros,Centros de Atención Social,-102.2915138,21.8516852,,OSC / ONG,,ACNUR servicios
Parque Ecologico El Cedazo,Centros de Atención Social,-102.2563303,21.8686361,,OSC / ONG,,ACNUR servicios
Centro de Justicia para Mujeres,Centros de Atención Social,-102.2528075,21.8668426,,OSC / ONG,,ACNUR servicios
Instituto Aguascalentense de la Mujer,Centros de Atención Social,-102.2806974,21.889146,,OSC / ONG,,ACNUR servicios
Instituto Municipal de la Mujer de Aguascalientes,Centros de Atención Social,-102.2919403,21.8850228,,OSC / ONG,,ACNUR servicios
DIF Municipal de Aguascalientes,Centros de Atención Social,-102.310767,21.908612,,OSC / ONG,,ACNUR servicios
DIF Estatal Aguascalientes,Centros de Atención Social,-102.309394,21.8676712,,OSC / ONG,,ACNUR servicios
"Procuraduría de Protección de Niñas, Niños y Adolescentes ",Centros de Atención Social,-102.3095092,21.8678745,,OSC / ONG,,ACNUR servicios
Instituto Municipal de la Juventud,Centros de Atención Social,-102.295057,21.8815815,,OSC / ONG,,ACNUR servicios
Centenario Hospital Miguel Hidalgo,Centros de Atención Social,-102.2825251,21.8947652,,OSC / ONG,,ACNUR servicios
Instituto Mexicano del Seguro Social (IMSS),Centros de Atención Social,-102.2969018,21.8704618,,OSC / ONG,,ACNUR servicios
Centro Ambulatorio para la Prevenciòn y Atención del VIH/SIDA (CAPASITS),Centros de Atención Social,-102.2550007,21.8575533,,OSC / ONG,,ACNUR servicios
Cruz Roja,Centros de Atención Social,-102.3032217,21.8613155,,OSC / ONG,,ACNUR servicios
Servicio Nacional de Empleo Aguascalientes,Centros de Atención Social,-102.2983128,21.8589705,,OSC / ONG,,ACNUR servicios
Proyecto Habesha,Centros de Atención Social,-102.3002149,21.8807825,,OSC / ONG,,ACNUR servicios
IEA Instituto de Educación de Aguascalientes,Centros de Atención Social,-102.2536985,21.8719461,,OSC / ONG,,ACNUR servicios
Instituto para la Educación de las Personas Jóvenes y Adultas (INEPJA),Centros de Atención Social,-102.2971792,21.8699055,,OSC / ONG,,ACNUR servicios
Instituto Aguascalentense de la Juventud,Centros de Atención Social,-102.2628415,21.8696464,,OSC / ONG,,ACNUR servicios
Oficina de Atención al Migrante,Centros de Atención Social,-102.294916,21.8782219,,OSC / ONG,,ACNUR servicios
Instituto Nacional de Migración ,Centros de Atención Social,-102.3264611,21.9400366,,OSC / ONG,,ACNUR servicios
Secretaría de Bienestar,Centros de Atención Social,-102.2794489,21.8384489,,OSC / ONG,,ACNUR servicios
Comisión Estatal de Derechos Humanos,Centros de Atención Social,-102.3023486,21.8644747,,OSC / ONG,,ACNUR servicios
Instituto Federal de la Defensoría Pública (IFDP),Centros de Atención Social,-102.3051088,21.8590472,,OSC / ONG,,ACNUR servicios
Instituto de Asesoría y Defensoría Pública del Estado de Aguascalientes,Centros de Atención Social,-102.2902495,21.8855849,,OSC / ONG,,ACNUR servicios
Fiscalía General del Estado,Centros de Atención Social,-102.282492,21.880829,,OSC / ONG,,ACNUR servicios
Bomberos,Centros de Atención Social,-102.2553556,21.8750136,,OSC / ONG,,ACNUR servicios
ACNUR La Agencia de la ONU para los Refugiados,Centros de Atención Social,-102.2949742,21.8782219,,OSC / ONG,,ACNUR servicios
Aeropuerto Internacional de Aguascalientes,Centros de Atención Social,-102.3162276,21.701298,,OSC / ONG,,ACNUR servicios
Terminal de autobuses Aguascalientes,Centros de Atención Social,-102.2989623,21.8657368,,OSC / ONG,,ACNUR servicios
Colectivo SERGAY de Aguascalientes A. C. ,Centros de Atención Social,-102.2717588,21.8741711,,OSC / ONG,,ACNUR servicios
Comedor de Caritas A.C. ,Centros de Atención Social,-94.8870046,17.9258019,,OSC / ONG,,ACNUR servicios
Casa del Migrante Monseñor Guillermo Ranzahuer,Centros de Atención Social,-94.9017573,17.9326714,,OSC / ONG,,ACNUR servicios
ACNUR Agencia de la ONU para los Regufiados,Centros de Atención Social,-94.9162539,17.9535286,,OSC / ONG,,ACNUR servicios
Asylum Access ,Centros de Atención Social,-94.9187904,17.9551804,,OSC / ONG,,ACNUR servicios
RET,Centros de Atención Social,-94.9189622,17.9553111,,OSC / ONG,,ACNUR servicios
"Procuraduría Municipal de Protección a Niilas, Niilos y Adolescentes",Centros de Atención Social,-94.921806,17.9526937,,OSC / ONG,,ACNUR servicios
"Procuraduría Municipal de Protección a Ninas, Niíios y Adolescentes",Centros de Atención Social,-94.8979305,17.9279498,,OSC / ONG,,ACNUR servicios
Instituto Municipal de la Mujer,Centros de Atención Social,-94.9140116,17.9489541,,OSC / ONG,,ACNUR servicios
Estación Migratoria de Acayucan - INM - Instituto Nacional de Migración,Centros de Atención Social,-94.9217003,18.0017518,,OSC / ONG,,ACNUR servicios
COMAR - Comisión Mexicana de Ayuda a Refugiados,Centros de Atención Social,-94.9222498,18.0016465,,OSC / ONG,,ACNUR servicios
Dirección Municipal de Atención a Migrantes,Centros de Atención Social,-94.9136816,17.9489039,,OSC / ONG,,ACNUR servicios
Fiscalía Especializada en Atención a Migrantes,Centros de Atención Social,-94.9137246,17.948613,,OSC / ONG,,ACNUR servicios
Consulado de Honduras en Acayucan,Centros de Atención Social,-94.9140625,17.9486538,,OSC / ONG,,ACNUR servicios
Consulado de EI Salvador,Centros de Atención Social,-94.9103659,17.9565032,,OSC / ONG,,ACNUR servicios
Consulado de Guatemala ,Centros de Atención Social,-94.9085382,17.950305,,OSC / ONG,,ACNUR servicios
Hospital Oluta Acayucan,Centros de Atención Social,-94.9057116,17.9325805,,OSC / ONG,,ACNUR servicios
Cruz Roja Delegación Acayucan,Centros de Atención Social,-94.9119019,17.9478892,,OSC / ONG,,ACNUR servicios
Central Camionera de Acayucan,Centros de Atención Social,-94.9047638,17.9479436,,OSC / ONG,,ACNUR servicios
Cancha la Malinche ,Centros de Atención Social,-94.9065636,17.9320265,,OSC / ONG,,ACNUR servicios
"Unidad Deportiva ""El Greco""",Centros de Atención Social,-94.9209507,17.9366139,,OSC / ONG,,ACNUR servicios
Casa De La Cultura,Centros de Atención Social,-94.9109158,17.9434801,,OSC / ONG,,ACNUR servicios
Comisión Estatal de Derechos Humanos - Delegación Étnica Acayucan,Centros de Atención Social,-94.9109558,17.950808,,OSC / ONG,,ACNUR servicios
"Centro de capacitación y comedor
comunitario",Centros de Atención Social,-86.828961,21.164304,,OSC / ONG,,ACNUR servicios
Instituto Nacional de Migración,Centros de Atención Social,-86.8242232,21.1633073,,OSC / ONG,,ACNUR servicios
Dirección de la Coordinación de Registro Civil en Cancún,Centros de Atención Social,-86.8280649,21.161914,,OSC / ONG,,ACNUR servicios
Sistema para el Desarrollo Integral de la Familia (DIF),Centros de Atención Social,-86.8676262,21.1627212,,OSC / ONG,,ACNUR servicios
Delegación de la Secretaria de Relaciones Exteriores,Centros de Atención Social,-86.8242135,21.1587674,,OSC / ONG,,ACNUR servicios
Secretaria de Bienestar,Centros de Atención Social,-86.829181,21.1648091,,OSC / ONG,,ACNUR servicios
"Centro Especializado para la
Atención a la Violencia (CEAV)",Centros de Atención Social,-86.8382039,21.194886,,OSC / ONG,,ACNUR servicios
Comisión Ejecutiva de Atención a Víctimas (CEAVE),Centros de Atención Social,-86.8563519,21.1467667,,OSC / ONG,,ACNUR servicios
Instituto Federal de Defensoría Pública,Centros de Atención Social,-86.8537741,21.1481061,,OSC / ONG,,ACNUR servicios
Comisión Estatal de Derechos Humanos,Centros de Atención Social,-86.8265334,21.1535593,,OSC / ONG,,ACNUR servicios
"Instituto Quintanarroense de la Mujer
(IQM)",Centros de Atención Social,-86.8241068,21.1677611,,OSC / ONG,,ACNUR servicios
Centro de Justicia para las Mujeres de Cancún ,Centros de Atención Social,-86.862792,21.1628257,,OSC / ONG,,ACNUR servicios
Fiscalía Especializada para la Atención de Delitos contra la Mujer y por razones de Género ,Centros de Atención Social,-86.8632886,21.1629238,,OSC / ONG,,ACNUR servicios
Servicio Estatal de Empleo y Capacitación para el Trabajo,Centros de Atención Social,-86.8377789,21.1541099,,OSC / ONG,,ACNUR servicios
Centro de Capacitación para el Trabajo Industrial (CECATI) 119,Centros de Atención Social,-86.8545789,21.1640206,,OSC / ONG,,ACNUR servicios
"Instituto Estatal para la Educación de
Jóvenes y Adultos (IEEA)",Centros de Atención Social,-86.892417,21.148613,,OSC / ONG,,ACNUR servicios
Secretaria de Educación y Cultura,Centros de Atención Social,-86.8210082,21.1696842,,OSC / ONG,,ACNUR servicios
"Hospital General De Cancún ""Jesús Kumate Rodriguez""",Centros de Atención Social,-86.8763503,21.1961633,,OSC / ONG,,ACNUR servicios
Central de Autobuses,Centros de Atención Social,-86.8266457,21.164339,,OSC / ONG,,ACNUR servicios
Aeropuerto Internacional de Cancún,Centros de Atención Social,-86.8740062,21.0417033,,OSC / ONG,,ACNUR servicios
Mercado 28,Centros de Atención Social,-86.8344996,21.1612911,,OSC / ONG,,ACNUR servicios
Instituto de la Cultura y las Artes,Centros de Atención Social,-86.8272461,21.1694938,,OSC / ONG,,ACNUR servicios
Casa de Cultura Cancún,Centros de Atención Social,-86.8334732,21.1524524,,OSC / ONG,,ACNUR servicios
Procuraduría de la Defensa del Trabajo,Centros de Atención Social,-88.2948119,18.5048083,,OSC / ONG,,ACNUR servicios
"Fiscalía especializada en delitos
cometidos en contra de los migrantes",Centros de Atención Social,-88.395465,18.4934448,,OSC / ONG,,ACNUR servicios
Comisión Estatal de los Derechos Humanos,Centros de Atención Social,-88.3098807,18.5056957,,OSC / ONG,,ACNUR servicios
"Grupos Especializados de Atención a
la Violencia de Género (GEAVIG)",Centros de Atención Social,-88.3055254,18.5412705,,OSC / ONG,,ACNUR servicios
Instituto Nacional De Migración,Centros de Atención Social,-88.3314752,18.5039935,,OSC / ONG,,ACNUR servicios
Hospital General de Chetumal,Centros de Atención Social,-88.3040718,18.5170703,,OSC / ONG,,ACNUR servicios
Hospital Materno Infantil Morelos,Centros de Atención Social,-88.298131,18.5020859,,OSC / ONG,,ACNUR servicios
Instituto Quintanarroense de la Mujer,Centros de Atención Social,-88.3071064,18.4968688,,OSC / ONG,,ACNUR servicios
"Unidad de Especialidad Médica para
la Detección y Diagnóstico del Cáncer
de Mama (UNEME)",Centros de Atención Social,-88.3468928,18.5078414,,OSC / ONG,,ACNUR servicios
DIF Municipal ,Centros de Atención Social,-88.3049895,18.4971866,,OSC / ONG,,ACNUR servicios
"Club de la Tercera Edad Antonia
Madrid Viuda de Villanueva",Centros de Atención Social,-88.2892481,18.5077304,,OSC / ONG,,ACNUR servicios
Instituto Nacional del Adulto Mayor (INAPAM),Centros de Atención Social,-88.3093464,18.5081598,,OSC / ONG,,ACNUR servicios
Servicio Estatal del Empleo y Capacitación para el Trabajo,Centros de Atención Social,-88.2947944,18.5045097,,OSC / ONG,,ACNUR servicios
Museo de la Ciudad de Chetumal,Centros de Atención Social,-88.2966366,18.5014723,,OSC / ONG,,ACNUR servicios
Museo de la Cultura Maya,Centros de Atención Social,-88.2954615,18.5039678,,OSC / ONG,,ACNUR servicios
Mercado Lazaro Cardenas,Centros de Atención Social,-88.2891517,18.514348,,OSC / ONG,,ACNUR servicios
Mercado Municipal Chetumal,Centros de Atención Social,-88.2961093,18.5035249,,OSC / ONG,,ACNUR servicios
"Ventanilla Única de Atención a
Migrantes",Centros de Atención Social,-88.3043312,18.4976244,,OSC / ONG,,ACNUR servicios
Terminal de Autobuses de Chetumal,Centros de Atención Social,-88.3135849,18.5188127,,OSC / ONG,,ACNUR servicios
Aeropuerto Internacional de Chetumal,Centros de Atención Social,-88.3242963,18.5063952,,OSC / ONG,,ACNUR servicios
La Panza Es Primero,Centros de Atención Social,-99.1018578,19.3950474,,OSC / ONG,,ACNUR servicios
Centro de Justicia para las Mujeres de la Ciudad de México,Centros de Atención Social,-99.1853858,19.500868,,OSC / ONG,,ACNUR servicios
Centro de Justicia para las Mujeres de la Ciudad de México - Iztapalapa ,Centros de Atención Social,-98.9967294,19.3430274,,OSC / ONG,,ACNUR servicios
Centro de Atención a la violencia Intrafamiliar C.A.V.I.,Centros de Atención Social,-99.1477185,19.4242043,,OSC / ONG,,ACNUR servicios
Fiscalía Especial Para Los Delitos De Violencia Contra Las Mujeres Y Trata De Personas,Centros de Atención Social,-99.1755039,19.4259855,,OSC / ONG,,ACNUR servicios
Secretaría de las Mujeres de la Ciudad de México,Centros de Atención Social,-99.1489664,19.4319583,,OSC / ONG,,ACNUR servicios
Salud Integral Para La Mujer/SIPAM,Centros de Atención Social,-99.1469215,19.3584762,,OSC / ONG,,ACNUR servicios
Vifac CDMX,Centros de Atención Social,-99.1914825,19.353301,,OSC / ONG,,ACNUR servicios
ADIVAC,Centros de Atención Social,-99.1591847,19.4490524,,OSC / ONG,,ACNUR servicios
Agencias del Ministerio Público Especializada en Delitos Sexuales,Centros de Atención Social,-99.1649836,19.425347,,OSC / ONG,,ACNUR servicios
Agencias del Ministerio Público Especializada en Delitos Sexuales,Centros de Atención Social,-99.1119607,19.4202269,,OSC / ONG,,ACNUR servicios
Agencias del Ministerio Público Especializada en Delitos Sexuales,Centros de Atención Social,-99.0410315,19.3819229,,OSC / ONG,,ACNUR servicios
Agencias del Ministerio Público Especializada en Delitos Sexuales,Centros de Atención Social,-99.1465851,19.4843399,,OSC / ONG,,ACNUR servicios
Agencias del Ministerio Público Especializada en Delitos Sexuales,Centros de Atención Social,-99.1476366,19.4244238,,OSC / ONG,,ACNUR servicios
Centro de Terapia de Apoyo a Víctimas de Delitos Sexuales - FGJCDMX,Centros de Atención Social,-99.1610558,19.3811871,,OSC / ONG,,ACNUR servicios
Centro Cultural Jauría Trans,Centros de Atención Social,-99.1563611,19.4166225,,OSC / ONG,,ACNUR servicios
UNADIS “Espacia Arcosiris”,Centros de Atención Social,-99.1552242,19.4009162,,OSC / ONG,,ACNUR servicios
Centro Comunitario de Atención a la Diversidad Sexual,Centros de Atención Social,-99.16407,19.4271088,,OSC / ONG,,ACNUR servicios
Centros de Estancia Transitoria para Niños y Niñas,Centros de Atención Social,-99.1473557,19.4236291,,OSC / ONG,,ACNUR servicios
Defensoría de los Derechos de la Infancia - DIF,Centros de Atención Social,-99.1627104,19.3654832,,OSC / ONG,,ACNUR servicios
REDIM Red por los Derechos de la Infancia en Mexico,Centros de Atención Social,-99.1629498,19.3609104,,OSC / ONG,,ACNUR servicios
Procudaduría Federal de Protección de NNA,Centros de Atención Social,-99.1585382,19.3666437,,OSC / ONG,,ACNUR servicios
Instituto para el Envejecimiento Digno (INED),Centros de Atención Social,-99.1335522,19.4190858,,OSC / ONG,,ACNUR servicios
Comisión Nacional de los Derechos Humanos de México (CNDH),Centros de Atención Social,-99.2205517,19.3217777,,OSC / ONG,,ACNUR servicios
Consejo para Prevenir y Eliminar la Discriminación de la Ciudad de México - COPRED,Centros de Atención Social,-99.1517443,19.4294776,,OSC / ONG,,ACNUR servicios
Comisión de Derechos Humanos de la Ciudad de México - CDHCDMX,Centros de Atención Social,-99.1747784,19.3550495,,OSC / ONG,,ACNUR servicios
Consejo Nacional Para Prevenir la Discriminación - CONAPRED,Centros de Atención Social,-99.1697128,19.4229242,,OSC / ONG,,ACNUR servicios
