name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Esperanza,Centros de Asistencia Social,14.9308333,-92.2512565,"(14.9308333, -92.2512565)",OSC / ONG,"3a Calle Ote. No. 37, Col. Centro jurídica Tapachula, Chiapas. C.P. 30700",Directorio OIM
Camino a la Vida,Centros de Asistencia Social,,,"21.886237013643044, -102.30762871928383",OSC / ONG,"José Guadalupe Posada 828, Barrio Guadalupe (a un lado del Panteón de la Cruz) C.P. 20000",Directorio OIM
"Casa de Oración del Migrante, A.C.",Centros de Asistencia Social,,,"31.870803596687143, -116.58671256804844",OSC / ONG,"Niños Héroes 981, Col. Jesús Munguia C.P. 22840",Directorio OIM
Ángeles Sin Fronteras,Centros de Asistencia Social,-46.44365097,-67.51444908,"32.66293697601438, -115.49498343917332",OSC / ONG,"Av. Reforma 244, Altos Zona Centro C.P.21100",Directorio OIM
San Vicente,Centros de Asistencia Social,31.86697,-116.6009704,"(31.86697, -116.6009704)",OSC / ONG,"Calle 9a 691, Col. Bustamante C.P. 22840",Directorio OIM
"Mana de Mexicali, I.B.P.",Centros de Asistencia Social,32.6457407,-115.458184,"(32.6457407, -115.458184)",OSC / ONG,"Av. Jesús García 1799, Col. Nacozari C.P.21030",Directorio OIM
Comedor Cobina A.C.,Centros de Asistencia Social,-38.99127203,-64.10256807,"32.66030066068713, -115.48987485285113",OSC / ONG,"Avenida Lerdo 416, Col. Centro C.P. 21200",Directorio OIM
Centro de Apoyo al Trabajor Migrante,Centros de Asistencia Social,1.1989071,-77.2827666,"32.660847720110326, -115.4794934911816",OSC / ONG,"Jabonera 6, Col. Nueva C.P. 21100",Directorio OIM
"Grupo de Ayuda para el Migrante de Mexicali, A.C.",Centros de Asistencia Social,0.3392009,-80.0090075,"32.65593506313985, -115.49879644593953",OSC / ONG,"Michoacán 1377, Col. Pueblo Nuevo C.P. 21120",Directorio OIM
Juntos en el Camino,Centros de Asistencia Social,,,"32.65895404522832, -115.56569597666147",OSC / ONG,"Garita 1, Carretera Mexicali-Calexico, Módulo 3",Directorio OIM
El Buen Samaritano,Centros de Asistencia Social,10.144836,-64.6983791,"32.6538543377269, -115.47899140175721",OSC / ONG,"Celaya s/n, Parroquia San José Obrero, Col. Bellavista, C.P. 21150",Directorio OIM
Juvenil del Desierto,Centros de Asistencia Social,32.6545058,-115.4653355,"(32.6545058, -115.4653355)",OSC / ONG,"Carpinteros 1515, Col. Industrial C.P. 21010",Directorio OIM
Casa Betania,Centros de Asistencia Social,,,"32.60406223467113, -115.43936742358323",OSC / ONG,"Lago Hudson 2408, Col. Xochimilco C.P. 21380",Directorio OIM
Nuestra Señora de Guadalupe,Centros de Asistencia Social,32.5677881,-116.6066337,"32.56267732137669, -116.60448257353652",OSC / ONG,"Misión Santa Teresa 1400, Col. El Descanso C.P.21478",Directorio OIM
"El Camino a un Nuevo Amanecer, A.C",Centros de Asistencia Social,,,"32.47416680794939, -117.06563876071894",OSC / ONG,"Pte. Canal Pacifico, Km 15.5, Ej. Hipolito Renteria",Directorio OIM
"Movimiento Juventud 2000 Sección Tijuana, A.C.",Centros de Asistencia Social,32.5403172,-117.0393303,"(32.5403172, -117.0393303)",OSC / ONG,"Constitución 205, Zona Norte C.P. 22100",Directorio OIM
"Alfa y Omega, A.C.",Centros de Asistencia Social,32.56754405,-114.9958286,"(32.567544049999995, -114.99582857842219)",OSC / ONG,"Av. Benito Juárez 24, Zona Centro C.P. 21100",Directorio OIM
