name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Oficinas de Atención a Migrante - Baja California,Oficinas de Atención a Migrante,32.51180341314272,-116.98500225046757,"32.51180341314272, -116.98500225046757",GOB,"5, Blvd. Gustavo Díaz Ordaz 12649-Interior 37, El Paraiso, 22106 Tijuana, B.C.",Oficinas de Atención a Migrantes (OFAMs)
Oficinas de Atención a Migrante - Campeche,Oficinas de Atención a Migrante,19.82749138455163,-90.53067579458845,"19.82749138455163, -90.53067579458845",GOB,"Niebla No.2, Fracciorama 2000, C.P.24090,",Oficinas de Atención a Migrantes (OFAMs)
Oficinas de Atención a Migrante - Jalisco,Oficinas de Atención a Migrante,20.6699553213728,-103.35357558478287,"20.6699553213728, -103.35357558478287",GOB,"Calle Pavo No. 457, Esq. La Paz. 2 Pisa, Col.  Centro, C.P. 44100, Guadalajara, Jalisco.",Oficinas de Atención a Migrantes (OFAMs)
Oficinas de Atención a Migrante - Sonora,Oficinas de Atención a Migrante,29.083537222084892,-110.94425387596134,"29.083537222084892, -110.94425387596134",GOB,"Del Razo 16, Centro, 83079 Centro, Son.",Oficinas de Atención a Migrantes (OFAMs)
"COMAR - Tenosique, Tabasco",COMAR,17.46970192289758,-91.43035837908077,"17.46970192289758, -91.43035837908077",GOB,Calle 2 S/N esquina Calle 55. Col. Pueblo Nuevo. C.P. 86900,COMAR
Defensoría de los Derechos Humanos de Querétaro,CNDH,20.577546873062715,-100.3751551973854,"20.577546873062715, -100.3751551973854",OSC / ONG,"Av. Luis Vega Monrroy 1101, zona dos extendida, Plazas del Sol 1ra Secc, 76099 Santiago de Querétaro, Qro.",Directorio OIM
 SEMIGRANTE (Tlazazalca) ,Centros de Atención Social,19.971460912355205,-102.05671822486107,"19.971460912355205, -102.05671822486107",OSC / ONG,"Interior Palacio Municipal S/N, Col. Centro, C.P. 58740,Tlazazalca, Michoacán",redes
 INM Grupo Beta Mexicali ,Centros de Atención Social,32.62454916171159,-115.4522609914491,"32.62454916171159, -115.4522609914491",OSC / ONG,"Av. Melgar No. 1, Garita, Centro Cívico, 21000 Mexicali, B.C.,Tijuana, Baja California",redes
"Juárez, A.C.",Centros de Asistencia Social,31.682995202942667,-106.379755270684,"31.682995202942667, -106.379755270684",OSC / ONG,"Neptuno 1855, Col. Satélite C.P. 32540",Directorio OIM
Madre Teresa,Centros de Asistencia Social,28.392710618466992,-106.90661827513563,"28.392710618466992, -106.90661827513563",OSC / ONG,"Calle 106 y Las Águilas, Col. Tierra Nueva C.P. 31528",Directorio OIM
Nazareth,Centros de Asistencia Social,27.487533874252485,-99.4848691617733,"27.487533874252485, -99.4848691617733",OSC / ONG,"Maderos 350, Col. Victoria C.P. 88030",Directorio OIM
Amar,Centros de Asistencia Social,27.492227187228693,-99.50213433501482,"27.492227187228693, -99.50213433501482",OSC / ONG,"Canales 2112, Sector Centro C.P. 88160",Directorio OIM
