Institución,Dirección,Latitud,Longitud
Oficinas de Atención a Migrante,"C. Horneado, No.104, Planta Baja. Zona Centro",19.0439° N, 98.1985° W
Oficinas de Atención a Migrante,"Centro comercial Plaza Patria, Blvd. Diaz Ordaz",20.6736° N, 103.4052° W
Oficinas de Atención a Migrante,"C. Aldama, No. 501, Altos. Sector Centro",20.9174° N, 100.7457° W
Oficinas de Atención a Migrante,"C. Niebla No.2, Fracciorama 2000, C.P.24090",25.6486° N, 100.4433° W
Oficinas de Atención a Migrante,"Blvd. Diaz Ordaz, No. 11, Col. Cedros de Erika",20.6736° N, 103.4052° W
Oficinas de Atención a Migrante,"Padre Flores No. 181, Altos. entre Aldama y Victoria",20.9174° N, 100.7457° W
Oficinas de Atención a Migrante,"C. Alfonso Sierra Partida. No. 369, Colonia Jardines",31.7325° N, 106.4313° W
Oficinas de Atención a Migrante,"Eje 1 Poniente, Calle Bucareli 134, Col. Centro",19.4358° N, 99.1469° W
Oficinas de Atención a Migrante,"Durango No. 1406, Int. “P”. Barrio Tierra Blanca",25.6866° N, 100.3161° W
Oficinas de Atención a Migrante,"Lerdo Poniente No. 300, Puerta 157, Col. Centro",19.4348° N, 99.1394° W
Oficinas de Atención a Migrante,"Paseo Alejandro Cervantes Delgado s/n, Esq. Juan de la Barrera",19.0569° N, 98.2027° W
Oficinas de Atención a Migrante,"C. Guadalupe No. 221, Zona Centro",20.9174° N, 100.7457° W
Oficinas de Atención a Migrante,"Blvd.Everardo Márquez No .101 , Plaza Bella",21.8823° N, 102.2962° W
Oficinas de Atención a Migrante,"Calle Pavo No .457 , Esq .La Paz .2 Pisa , Col .Centro",19.4358° N, 99.1469° W
Oficinas de Atención a Migrante,"C.Colegio Militar No .230 , Col .Chapultepec Norte",31.7365° N, 106.4847° W
Oficinas de Atención a Migrante,"Av.Plan de Ayala No .825 , Plaza Cristal",18.9191° N, 99.2200° W
Oficinas de Atención a Migrante,"Palacio de Gobierno , Avenida Mexico sin.Colonia Central",21.1526° N, 101.7113° W
Oficinas de Atención a Migrante,C .5 de Mayo No .5 2 5 Oriente.Zona Centro,19.0440° N, 98.1968° W
Oficinas de Atención a Migrante,"Carretera al Tule , km .11 .5 , Cd.Administrativa",17.0428° N, 96.7203° W
Oficinas de Atención a Migrante,"Vía Atlixcayotl No .1101 , Piso2 , Edif.Ejecutivo",19.0321° N, 98.2319° W
Oficinas de Atención a Migrante,"C .5 de Mayo No .83 , Centro Histórico",19.0440° N, 98.1968° W
Oficinas de Atención a Migrante,"German Gedovius No .175 , Col.del Valle",19.3870° N, 99.1724° W
Oficinas de Atención a Migrante,Privada del Razo No .16 E/Carbo y Palma,31.7325° N, 106.4313° W
Oficinas de Atención a Migrante,"Bravo No .2123 , Sector Centro",27.4964° N, 109.9379° W
Oficinas de Atención a Migrante,"Plaza San José , Esq.Plaza de la Constitución s/n",20.9174° N, 100.7457° W
Oficinas de Atención a Migrante,"Palacio Federal 2do.Piso, Zamora Esq.Diego Leño",21.1526° N, 101.7113° W
Oficinas de Atención a Migrante,"Calle 66 No. 532, Centro",20.966944° N, 89.627127° W
Oficinas de Atención a Migrante,"Circ. Cerro del Gato, Edif. B, Sedesol, Planta Baja",22.777834° N, 102.613009° W
Oficinas Estatales de Atención ,"Calle Colón Número 309, Barrio del Encino",22.7719° N, 102.5726° W
Oficinas Estatales de Atención ,"Edificio del Poder Ejecutivo 2do. Piso, Centro de Gobierno Vía Rápida oriente",32.5149° N, 117.0195° W
Oficinas Estatales de Atención ,"Niebla No. 2, Colonia Fracciorama 2000",25.6486° N, 100.4433° W
Oficinas Estatales de Atención ,"Calle Diagonal 20 de Noviembre 294, Colonia Obrera",19.0507° N, 98.1981° W
Oficinas Estatales de Atención ,"Calle Padre Flores No. 181, Altos, entre Victoria y Aldama",20.9174° N, 100.7457° W
Oficinas Estatales de Atención ,"Alfonso Sierra Partida 369, Colonia Jardines Vista Hermosa",31.7325° N, 106.4313° W
Oficinas Estatales de Atención ,"Unidad Administrativa José María Morelos y Pavón, Av. Abraham Lincoln No.1320",31.7204° N, 106.4245° W
Oficinas Estatales de Atención ,"Calle de Juárez #144 Norte, Esquina Coronado",31.7325° N, 106.4313° W
Oficinas Estatales de Atención ,"Miguel Ángel San Martín Torres Hamburgo No. 235, Juárez",31.7325° N, 106.4313° W
Oficinas Estatales de Atención ,"Cantarranas 6, Zona Centro",19.0440° N, 98.1968° W
Oficinas Estatales de Atención ,"Paseo Alejandro Cervantes Delgado Manzana 5 Lote 1 2° Piso, Col. Universal",19.0569° N, 98.2027° W
Oficinas Estatales de Atención ,Pino Suarez num.301 Col. Real de Minas,20.9174° N, 100.7457° W
Oficinas Estatales de Atención ,"Calle Jesús García No.720, Col.El Santuario",20.9174° N, 100.7457° W
Oficinas Estatales de Atención ,"Colegio Militar No. 230, Chapultepec Nte.",31.7365° N, 106.4847° W
Oficinas Estatales de Atención ,Av. México y Abasolo S/N Palacio de Gobierno,21.1526° N, 101.7113° W
Oficinas Estatales de Atención ,"Calle Zaragoza esq. 5 de Mayo, Zona Centro",19.0440° N, 98.1968° W
Oficinas Estatales de Atención ,Ciudad Administrativa Benemérito de las Américas,17.0428° N, 96.7203° W
Oficinas Estatales de Atención ,"Vía Atixcayotl No. 1101, Edificio Ejecutivo",19.0321° N, 98.2319° W
Oficinas Estatales de Atención ,Calle 5 de mayo #83 Col. Centro,19.0440° N, 98.1968° W
Oficinas Estatales de Atención ,"German Gedovius #175, Col.del Valle",19.3870° N, 99.1724° W
Oficinas Estatales de Atención ,Privada del Razo No. 16 entre calle La Palma y Carpo,31.7325° N, 106.4313° W
Oficinas Estatales de Atención ,"C. Nicolas Bravo 2123, Sector Centro",27.4964° N, 109.9379° W
Oficinas Estatales de Atención ,"Plaza San José, Esq. Plaza de la Constitución s/n",20.9174° N, 100.7457° W
Oficinas Estatales de Atención ,"Palacio Federal 2do. Nivel, Zamora Esq. Diego Leño",21.1526° N, 101.7113° W
Oficinas Estatales de Atención ,"Calle 66 No. 532, Parque Santiago",20.966944° N, 89.627127° W
Oficinas Estatales de Atención ,"Circuito Cerro del Gato, Edificio B",22.777834° N, 102.613009° W
OSC,"Calle 16 de Septiembre 105, Zona Centro, 87000 Ciudad Victoria, Tamaulipas",23.7367° N, 99.1412° W
OSC,"Calle Ignacio Zaragoza 15, Zona Centro, 30700 Tapachula de Córdova y Ordóñez, Chis.",14.9065° N, 92.2595° W
OSC,"Calle 5 de Mayo 1001, Zona Centro, 88209 Nuevo Laredo, Tamaulipas",27.4768° N, 99.5164° W
OSC,"Calle Francisco I. Madero 1010, Zona Centro, 88209 Nuevo Laredo, Tamaulipas",27.4768° N, 99.5164° W
OSC,,,
