name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd,Estado,Teléfono,Correo electrónico
Oficina de Atención al Migrante y sus Familias,Oficinas Estatales de Atención ,,,,GOB,"Calle Colón Número 309, Barrio del Encino",Oficinas Estatales de Atención a Migrantes,Aguascalientes,449-916-44-76,salvador.calvillo@aguascalientes.gob.mx
Subsecretaría de Asuntos Migratorios,Oficinas Estatales de Atención ,,,,GOB,"Edificio del Poder Ejecutivo 2do. Piso, Centro de Gobierno Vía Rápida oriente",Oficinas Estatales de Atención a Migrantes,Baja California,664-624-2044,slaguno@baja.gob.mx
Dirección General del Instituto de Acceso a la Justicia y Personas Migrantes,Oficinas Estatales de Atención ,,,,GOB,"Niebla No. 2, Colonia Fracciorama 2000",Oficinas Estatales de Atención a Migrantes,Campeche,(Ext.1008 y 1002),Jacs965@hotmail.com
Secretaría de Inclusión y Bienestar Social,Oficinas Estatales de Atención ,,,,GOB,"Calle Diagonal 20 de Noviembre 294, Colonia Obrera",Oficinas Estatales de Atención a Migrantes,Ciudad de México,+52 55 5741 2156 ext. 121,coordinacionmigrantes@sibiso.cdmx.gob.mx
Dirección de Vinculación y atención a Coahuilenses en el Extranjero,Oficinas Estatales de Atención ,,,,GOB,"Calle Padre Flores No. 181, Altos, entre Victoria y Aldama",Oficinas Estatales de Atención a Migrantes,Coahuila,(844)204-15-59,mgerardo.d.h.@hotmail.com
Coordinación General de Atención a Migrantes Colimenses,Oficinas Estatales de Atención ,,,,GOB,"Alfonso Sierra Partida 369, Colonia Jardines Vista Hermosa",Oficinas Estatales de Atención a Migrantes,Colima,01(312)330-3014,atencionmigrantes@hotmail.com
Consejo Estatal de Población y Atención a Migrantes,Oficinas Estatales de Atención ,,,,GOB,"Unidad Administrativa José María Morelos y Pavón, Av. Abraham Lincoln No.1320",Oficinas Estatales de Atención a Migrantes,Chihuahua,01(614)415-5105 / 07,dirvin.luis.garcia@gmail.com
Instituto de Atención y Protección al Migrante y su Familia del Estado de Durango,Oficinas Estatales de Atención ,,,,GOB,"Calle de Juárez #144 Norte, Esquina Coronado",Oficinas Estatales de Atención a Migrantes,Durango,6184564414,paulo.martinez@durango.gob.mx
Coordinador de Asuntos Internacionales,Oficinas Estatales de Atención ,,,,GOB,"Miguel Ángel San Martín Torres Hamburgo No. 235, Juárez",Oficinas Estatales de Atención a Migrantes,Estado de México,01(55)55 11 32 93 Ext. 1,asuntos.internacionales@edomex.gob.mx
Secretaría del Migrante y Enlace Internacional,Oficinas Estatales de Atención ,,,,GOB,"Cantarranas 6, Zona Centro",Oficinas Estatales de Atención a Migrantes,Guanajuato,(473) 7350150,lrazod@guanajuato.gob.mx
Secretaría de los Migrantes y Asuntos Internacionales,Oficinas Estatales de Atención ,,,,GOB,"Paseo Alejandro Cervantes Delgado Manzana 5 Lote 1 2° Piso, Col. Universal",Oficinas Estatales de Atención a Migrantes,Guerrero,(747) 47 2 77 12,secretariadelosmigrantes@gsuerrero.gob.mx
Subsecretaría de Desarrollo Social y Humano,Oficinas Estatales de Atención ,,,,GOB,Pino Suarez num.301 Col. Real de Minas,Oficinas Estatales de Atención a Migrantes,Hidalgo,(771)718 05 64,emilsemiranda1@hotmail.com
Dirección de Atención a Personas Migrantes,Oficinas Estatales de Atención ,,,,GOB,"Calle Jesús García No.720, Col.El Santuario",Oficinas Estatales de Atención a Migrantes,Jalisco,+52 (33) 1001 8601,Atencionmigrantes.sgg@jalisco.gob.mx
Secretaría del Migrante,Oficinas Estatales de Atención ,,,,GOB,"Colegio Militar No. 230, Chapultepec Nte.",Oficinas Estatales de Atención a Migrantes,Michoacán,(443) 3 22 91 00 ext.114,derechoshumanosyrepatriacion@gmail.com
Instituto de Atención y Protección a Migrantes y sus Familias en el Estado de Nayarit,Oficinas Estatales de Atención ,,,,GOB,Av. México y Abasolo S/N Palacio de Gobierno,Oficinas Estatales de Atención a Migrantes,Nayarit,311-254-13-72,raul.zaldivar@tam.gob.mx
El Gobierno de Nuevo León,Oficinas Estatales de Atención ,,,,GOB,"Calle Zaragoza esq. 5 de Mayo, Zona Centro",Oficinas Estatales de Atención a Migrantes,Nuevo León,8120203391,jose.ornelas@nuevoleon.gob.mx
Instituto Oaxaqueño de Atención al Migrante,Oficinas Estatales de Atención ,,,,GOB,Ciudad Administrativa Benemérito de las Américas,Oficinas Estatales de Atención a Migrantes,Oaxaca,951 127 5499,ioam.juridico.2004@gmail.com
