name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
"Centro de Asistencia Social de Niñas, Niños y Adolescentes Migrantes",Albergue / Comedor,,,,OSC / ONG,"Argentina 710, Col. Agricultura Aguascalientes, Ags. C. P. 20234",Directorio OIM
Albergue Temporal Mexicali,Albergue / Comedor,,,,OSC / ONG,"Salina Cruz 1253, Col. Guajardo Mexicali, Baja California. C. P. 21050",Directorio OIM
Albergue Temporal Tijuana,Albergue / Comedor,,,,OSC / ONG,"De los Taxistas s/n, 3ra Etapa del Río Tijuana, Baja California. C.P. 22226",Directorio OIM
Una Luz en mi Vida,Albergue / Comedor,,,,OSC / ONG,"Vista Hermosa, San José del Cabo. Los Cabos, Baja California Sur.",Directorio OIM
Casa Hogar La Esperanza,Albergue / Comedor,,,,OSC / ONG,"Paseo Nicolás Tamaral e/Padre Kino y H. de Independencia Col. Centro Loreto, Baja California Sur.",Directorio OIM
Casa Hogar El Altísimo A.C.,Albergue / Comedor,,,,OSC / ONG,"Col. La Paloma, S/N, Municipio de Mulegé BCS, C.P. 23900",Directorio OIM
Albergue Infantil “María Palmira Lavalle” del DIF Estatal Campeche,Albergue / Comedor,,,,OSC / ONG,"Av. Juan Escutia s/n, Col.Buenavista, San Francisco de Campeche, Campeche. C.P.24040",Directorio OIM
Meced Arrecife,Albergue / Comedor,,,,OSC / ONG,"Av. Puerto de Campeche s/, Col. Santa Isabel, Carmen, Campeche, C.P. 24157",Directorio OIM
Albergue Municipal para Niñas y Niños Migrantes,Albergue / Comedor,,,,OSC / ONG,"6a. Norte y 19a. Poniente, Col. Centro Tapachula, Chiapas. C.P. 30700",Directorio OIM
Casa del Migrante para Niñas y Niños No Acompañados,Albergue / Comedor,,,,OSC / ONG,"Avenida Bonampak, esquina Chocol-Ha s/n, Col. Maya Laca",Directorio OIM
Casa Hogar Alegre Odres Nuevos A.C.,Albergue / Comedor,,,,OSC / ONG,"Calle Marcelino Álvarez No. 450 Col. Rivera Cerro Hueco. Tuxtla Gutiérrez, Chiapas.",Directorio OIM
El Faro de Esperanza A. C.,Albergue / Comedor,,,,OSC / ONG,"Carretera Panamericana Km. 980, Cintalapa, Chiapas.",Directorio OIM
Los Niños son de Cristo,Albergue / Comedor,,,,OSC / ONG,"Calle Chicoasen 309, Col. Cruz con Casitas Tuxtla Gutiérrez, Chiapas.",Directorio OIM
México Mi Hogar,Albergue / Comedor,,,,OSC / ONG,"Bolivia 605 Nte. Col. Hidalgo Ciudad Juárez, Chihuahua.",Directorio OIM
Albergue para Repatriados y Menor Migrante,Albergue / Comedor,,,,OSC / ONG,"vista Hermosa, San José del Cabo. Los Cabos, Baja California Sur.",Directorio OIM
Centro de Estancia de Transitoria de la PGJDF,Albergue / Comedor,,,,OSC / ONG,"Dr. Lavista 78 Col. Doctores Del. Cuauhtémoc, Ciudad de México.",Directorio OIM
"Fundación Casa Alianza México, I.A.P.",Albergue / Comedor,,,,OSC / ONG,"Cerro Churitzio 118, Col. Campestre Churubusco, Del. Coyoacán, Ciudad de México.",Directorio OIM
"Fundación Dar y Amar Daya, I.A.P.",Albergue / Comedor,,,,OSC / ONG,"Calle Puebla 77, Col. Cuajimalpa Del. Cuajimalpa, Ciudad de México.",Directorio OIM
Hogares Providencia,Albergue / Comedor,,,,OSC / ONG,"Isabel la Católica 745, Col. Álamos Del. Benito Juárez, Ciudad de México.",Directorio OIM
"Yolia Niñas de la Calle, A.C.",Albergue / Comedor,,,,OSC / ONG,"Av. Hidalgo Lote 19 Manzana 54, Col. Olivar Del Conde, Segunda Sección, Del. Álvaro Obregón, Ciudad de México.C.P. 01408",Directorio OIM
Casa de los Niños y las Niñas Sección Casa Cuna,Albergue / Comedor,,,,OSC / ONG,"Paseo de los Nogales 922, Col. Chapultepec Saltillo, Coahuila. C.P. 25050",Directorio OIM
Casa de los Niños Sección Albergue,Albergue / Comedor,,,,OSC / ONG,"Paseo de los Nogales 922, Col. Chapultepec Saltillo, Coahuila. C.P. 25050",Directorio OIM
Casa de las Niñas Sección Casa Rosa,Albergue / Comedor,,,,OSC / ONG,"Paseo de los Nogales 922, Col. Chapultepec Saltillo, Coahuila. C.P. 25050",Directorio OIM
Albergue Transitorio,Albergue / Comedor,,,,OSC / ONG,"Pedro Ampudia s/n, Col. Guayulera Saltillo, Coahuila.",Directorio OIM
