name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Oficinas de Atención a Migrante - Baja California,Oficinas de Atención a Migrante,32.82676218,-116.8569095,"32.82676218, -116.8569095",GOB,"C. Aldama, No. 501, Altos. Sector Centro",Oficinas de Atención a Migrantes (OFAMs)
Oficinas de Atención a Migrante - Campeche,Oficinas de Atención a Migrante,40.0388583,-85.99984032,"40.0388583, -85.99984032",GOB,"Blvd. Diaz Ordaz, No. 11, Col. Cedros de Erika",Oficinas de Atención a Migrantes (OFAMs)
Oficinas de Atención a Migrante - Jalisco,Oficinas de Atención a Migrante,40.7071482,-4.0079955,"40.7071482, -4.0079955",GOB,"C.Colegio Militar No .230 , Col .Chapultepec Norte",Oficinas de Atención a Migrantes (OFAMs)
Oficinas de Atención a Migrante - Sonora,Oficinas de Atención a Migrante,36.7227468,-4.4705627,"36.7227468, -4.4705627",GOB,"Calle Bravo #2113, Zona Centro C.P.88000, Nuevo Laredo, Tamps.",Oficinas de Atención a Migrantes (OFAMs)
"COMAR - Tenosique, Tabasco",COMAR,5.6581087,-74.9358157,"5.6581087, -74.9358157",GOB,Calle 2 S/N esquina Calle 55. Col. Pueblo Nuevo. C.P. 86900,COMAR
Defensoría de los Derechos Humanos de Querétaro,CNDH,3.4739833,-76.5266302,"3.4739833, -76.5266302",OSC / ONG,"Av. Hidalgo No. 6, Col. Centro, C.P. 76000, Querétaro, Qro.",Directorio OIM
 SEMIGRANTE (Tlazazalca) ,Centros de Atención Social,13.4312625,-86.8082896,"13.4312625, -86.8082896",OSC / ONG,"Interior Palacio Municipal S/N, Col. Centro, C.P. 58740,Tlazazalca, Michoacán",redes
 INM Grupo Beta Mexicali ,Centros de Atención Social,32.69302834,-115.4913031,"32.69302833969529, -115.49130311866628",OSC / ONG,"Av. Melgar No. 1, Garita, Centro Cívico, 21000 Mexicali, B.C.,Tijuana, Baja California",redes
"Juárez, A.C.",Centros de Asistencia Social,13.7237748,-89.2194363,"13.7237748, -89.2194363",OSC / ONG,"Neptuno 1855, Col. Satélite C.P. 32540",Directorio OIM
Madre Teresa,Centros de Asistencia Social,23.1215965,-82.3993924,"23.1215965, -82.3993924",OSC / ONG,"Calle 106 y Las Águilas, Col. Tierra Nueva C.P. 31528",Directorio OIM
Nazareth,Centros de Asistencia Social,48.4360594,-123.3751687,"48.4360594, -123.3751687",OSC / ONG,"Maderos 350, Col. Victoria C.P. 88030",Directorio OIM
Amar,Centros de Asistencia Social,41.8167692,8.907295681,"41.816769199999996, 8.907295681331181",OSC / ONG,"Canales 2112, Sector Centro C.P. 88160",Directorio OIM
Amar,Centros de Asistencia Social,41.8167692,8.907295681,"41.816769199999996, 8.907295681331181",OSC / ONG,"Canales 2112, Sector Centro C.P. 88160",Directorio OIM
Decanal Guadalupano,Centros de Asistencia Social,4.1529761,-73.6333815,"4.1529761, -73.6333815",OSC / ONG,"Aldama 50, Col. El Viejo C.P. 95180",Directorio OIM
"Centro de Asistencia Social de Niñas, Niños y Adolescentes Migrantes",Centro de Asistencia Social,-37.3593434,-61.5348363,"-37.3593434, -61.5348363",OSC / ONG,"Argentina 710, Col. Agricultura Aguascalientes, Ags. C. P. 20234",Directorio OIM
Casa Hogar El Altísimo A.C.,Centro de Asistencia Social,13.6959637,-84.7985745,"13.6959637, -84.7985745",OSC / ONG,"Col. La Paloma, S/N, Municipio de Mulegé BCS, C.P. 23900",Directorio OIM
Grupo Beta Tecate,Grupos Beta,2.9111758,-75.2673143,"2.9111758, -75.2673143",OSC / ONG,"Calle 18, esq. con Tanamá s/n, Col. Bella Vista, C.P. 21440, Tecate, B.C.",Directorio OIM
Instituto Estatal de las Mujeres,Mujeres,-15.7564226,-47.8905177,"-15.7564226, -47.8905177",OSC / ONG,"5 de Mayo No. 525 Ote. Piso 3 E���� Elizondo Paez, Centro Monterrey, C.P. 64000, Monterrey, N.L.",Directorio OIM
Instituto Queretano de la Mujeres,Mujeres,3.4595243,-76.5311733,"3.4595243, -76.5311733",OSC / ONG,"Mariano Reyes No. 17, Col. Centro, C.P. 76000, Santiago de Querétaro, Qro.",Directorio OIM
Consulado General de El Salvador en Tapachula,Oficina Consular,3.4858552,-76.5173642,"3.4858552, -76.5173642",GOB,"Av. Central Norte s/n, entre 37 y 39 Calle Poniente, Col. 5 de Febrero, C.P.30710, Tapachula",Directorio OIM
Agencia Consular de Guatemala en Arriaga,Oficina Consular,7.89131785,-72.50061702,"7.89131785, -72.50061702456989",GOB,"Av. del Ferrocarril y 7a. Calle Norte 30-B, Col. Centro, C.P. 30450, Arriaga",Directorio OIM
Consulado Honorario de Honduras en Mérida,Oficina Consular,2.4747237,-76.5556738,"2.4747237, -76.5556738",GOB,"Calle 486, por 57 y 59, Col. Centro, C.P. 97000, Mérida",Directorio OIM
Esfera Cultural García,Centros de Atención Social,25.79547398,100.4812873,"25.795473976046267, -100.4812873192115",OSC / ONG,,ACNUR servicios
Esfera Cultural Buena Vista,Centros de Atención Social,25.85496312,100.3746534,"25.85496311642629, -100.37465337077379",OSC / ONG,,ACNUR servicios
CAMMI,Centros de Atencion Social,7.89756335,-72.4894614,"7.89756335, -72.4894614",OSC / ONG,"Marte No. 2, Col. Centro, Querétaro, Qro.",ACNUR albergues
DIF Estatal Colima,DIF,40.6668419,-3.764807,"40.6668419, -3.764807",GOB,"Calle Encino 530, Col. Rinconada del Pereyra, C.P. 28077, Colima, Col.",Directorio OIM
