,nommun,estado,eventos,inm_30km,distancia_metros,latitud,facility_count_57,facility_count_67,facility_count_77,facility_count_87,facility_count_97
0,"Tapachula, Chiapas",Chiapas,70665,2,15537,14.9042905,4,5,5,5,5
1,"Huimanguillo, Tabasco",Tabasco,86684,0,325527,17.7620967,1,1,1,1,1
2,"Centro, Tabasco",Tabasco,74160,1,224089,18.0271588,1,1,1,1,1
3,"Acayucan, Veracruz",Veracruz,36446,1,448302,17.9487862,2,2,2,2,2
4,"Tenosique, Tabasco",Tabasco,39620,1,42334,17.4707129,1,1,1,1,1
5,"Macuspana, Tabasco",Tabasco,31739,0,177427,17.760922,2,2,2,2,2
6,"Tijuana, Baja California",Baja California,27405,1,4085871,32.5317397,1,1,1,1,1
7,"Suchiate, Chiapas",Chiapas,28203,0,4909,14.6321744,2,3,3,3,3
8,"Piedras Negras, Coahuila",Coahuila,21530,1,2045841,28.7041725,1,1,1,1,1
9,"Huixtla, Chiapas",Chiapas,23755,3,75780,15.122125,3,3,3,3,3
10,"Arriaga, Chiapas",Chiapas,19741,0,273747,16.2344709,1,1,1,1,1
11,"Huehuetan, Chiapas",Chiapas,14693,4,43856,15.0217164,4,4,4,4,4
12,"Tuxtla Gutierrez, Chiapas",Chiapas,10266,1,206014,16.753801,2,2,2,2,2
13,"Cardenas, Tabasco",Tabasco,23150,0,269891,17.990878,1,1,1,1,1
14,"Santa Ana, Sonora",Sonora,12357,0,3039839,30.5410922,1,1,1,1,1
15,"Pijijiapan, Chiapas",Chiapas,11296,1,174442,15.6849991,1,1,1,1,1
16,"Teapa, Tabasco",Tabasco,9916,0,228943,17.5566526,3,3,3,3,3
17,"Hermosillo, Sonora",Sonora,9823,1,2867800,29.0948207,1,1,1,1,1
18,"Tacotalpa, Tabasco",Tabasco,9051,0,213887,17.5952197,3,3,3,3,3
19,"Palenque, Chiapas",Chiapas,7730,2,78219,17.509188,2,2,2,2,2
20,"Juarez, Chihuahua",Chihuahua,7964,1,2813804,31.7372575,1,1,1,1,1
21,"Jalapa, Tabasco",Tabasco,7564,0,197573,17.721716,4,4,4,4,4
22,"Emiliano Zapata, Tabasco",Tabasco,6555,0,88754,17.693626,1,1,1,1,1
23,"Reynosa, Tamaulipas",Tamaulipas,6339,0,1646218,26.0907673,1,1,1,1,1
24,"Iztapalapa, Ciudad de Mexico",Ciudad de Mexico,6091,1,972685,19.3591195,2,2,3,3,3
25,"Mexicali, Baja California",Baja California,5667,1,3888955,32.6405247,1,1,1,1,1
26,"Galeana, Nuevo Leon",Nuevo Leon,5394,0,1748364,24.8455906,1,1,1,1,1
27,"Jesus Carranza, Veracruz",Veracruz,5395,0,621054,17.38793115,1,1,1,1,1
28,"Puebla, Puebla",Puebla,5069,1,859778,19.03840623,1,1,2,2,2
29,"Tepotzotlan, Estado de Mexico",Estado de Mexico,4934,0,1035941,19.7173392,1,1,2,3,3
30,"Apodaca, Nuevo Leon",Nuevo Leon,4255,1,1662304,25.7816542,1,2,2,2,3
31,"Xaloztoc, Tlaxcala",Tlaxcala,2301,1,872666,19.403611,2,2,2,2,2
32,"San Luis Potosi, San Luis Potosi",San Luis Potosi,4067,1,1375500,22.15483424,1,1,1,1,1
33,"Agua Dulce, Veracruz",Veracruz,20,0,356415,18.0899541,1,1,1,1,1
34,"Nogales, Sonora",Sonora,4084,0,3148865,31.3285057,1,1,1,1,1
35,"Cosamaloapan de Carpio, Veracruz",Veracruz,3095,0,570409,18.28167395,1,1,1,1,1
36,"Union Juarez, Chiapas",Chiapas,2675,1,5,15.07074175,3,3,3,3,3
37,"Juchitan de Zaragoza, Oaxaca",Oaxaca,2625,1,432340,16.413329,1,1,1,1,1
38,"Ixtacuixtla de Mariano Matamoros, Tlaxcala",Tlaxcala,2544,1,907852,19.34670365,1,1,1,1,1
39,"Veracruz, Veracruz",Veracruz,2063,0,774711,19.333333,1,1,1,1,1
40,"Apaxco, Estado de Mexico",Estado de Mexico,2474,0,1016815,19.9807399,1,1,1,2,2
41,"Mina, Nuevo Leon",Nuevo Leon,2343,0,1707639,26.0025145,1,1,1,1,1
42,"General Bravo, Nuevo Leon",Nuevo Leon,2056,0,1684235,25.7932962,1,1,1,1,1
43,"Chihuahua, Chihuahua",Chihuahua,2040,1,2418040,28.5000001,1,1,1,1,1
44,"Benito Juarez, Quintana Roo",Quintana Roo,1909,0,372698,21.07668085,1,1,1,1,1
45,"Venustiano Carranza, Ciudad de Mexico",Ciudad de Mexico,1828,1,977282,19.4192787,2,2,3,3,3
46,"Villa Comaltitlan, Chiapas",Chiapas,1823,2,92603,15.1709732,3,3,3,3,3
47,"Campeche, Campeche",Campeche,430,1,,19.83028575,0,0,0,0,0
48,"Acuna, Coahuila",Coahuila,1672,0,2130333,29.3248796,1,1,1,1,1
49,"Balancan, Tabasco",Tabasco,1477,0,64560,17.79751665,1,1,1,1,1
50,"General Plutarco Elias Calles, Sonora",Sonora,1432,0,3293270,31.6949837,1,1,1,1,1
51,"Cuitlahuac, Veracruz",Veracruz,1447,0,667379,18.814226,1,1,1,1,2
52,"Guadalajara, Jalisco",Jalisco,1313,1,1719024,20.6720375,0,1,1,1,1
53,"San Juan del Rio, Queretaro",Queretaro,1303,0,1130114,20.3867547,0,1,1,1,1
54,"Oaxaca de Juarez, Oaxaca",Oaxaca,1217,1,704590,17.0604663,0,1,1,2,3
55,"Santa Maria Jalapa del Marques, Oaxaca",Oaxaca,1265,0,484711,16.4403557,0,1,1,1,1
56,"Escarcega, Campeche",Campeche,2524,1,,18.606934,1,1,1,1,1
57,"Ocozocoautla de Espinosa, Chiapas",Chiapas,1227,0,265926,16.7931431,0,1,1,2,2
58,"Monclova, Coahuila",Coahuila,1204,0,1851614,26.8999988,0,1,1,1,1
59,"General Escobedo, Nuevo Leon",Nuevo Leon,1204,1,1684447,25.808517,1,2,2,2,3
60,"Orizaba, Veracruz",Veracruz,1100,0,710275,18.8497366,0,1,1,1,2
61,"Gomez Palacio, Durango",Durango,849,1,1972177,25.5732473,0,0,0,2,2
62,"Huatabampo, Sonora",Sonora,1042,0,2544809,26.8248431,0,1,1,1,1
63,"Cajeme, Sonora",Sonora,1039,0,2642537,27.71198065,0,0,1,1,1
64,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,995,1,984915,19.4831686,3,3,4,4,4
65,"Azoyu, Guerrero",Guerrero,1023,0,970273,16.730833,0,0,1,1,1
66,"Zacatecas, Zacatecas",Zacatecas,982,1,858863,19.03901878,1,1,2,2,2
67,"Cruillas, Tamaulipas",Tamaulipas,1017,0,1492180,24.7554618,0,0,1,1,1
68,"Mazatlan, Sinaloa",Sinaloa,976,1,1989017,23.2035785,0,0,1,1,1
69,"Saltillo, Coahuila",Coahuila,925,1,1742942,25.4230425,0,0,1,1,1
70,"Merida, Yucatan",Yucatan,930,1,374364,20.9670759,0,0,1,1,1
71,"Queretaro, Queretaro",Queretaro,871,0,1180844,20.5927744,0,0,1,1,1
72,"Guaymas, Sonora",Sonora,863,0,2739835,27.9216441,0,0,0,1,1
73,"Altamira, Tamaulipas",Tamaulipas,873,1,1149502,22.3921625,0,0,1,1,2
74,"Torreon, Coahuila",Coahuila,824,1,1974757,25.542698,0,0,0,2,2
75,"Navojoa, Sonora",Sonora,834,0,2543410,27.0721872,0,0,0,1,1
76,"Frontera Comalapa, Chiapas",Chiapas,793,2,37111,15.6590135,0,0,0,1,1
77,"Tepeji del Rio de Ocampo, Hidalgo",Hidalgo,788,0,1047905,19.89368265,2,2,2,3,3
78,"Toluca, Estado de Mexico",Estado de Mexico,754,0,1040676,19.292545,0,0,0,1,1
79,"San Cristobal de las Casas, Chiapas",Chiapas,700,1,153172,16.6835469,0,0,0,0,1
80,"Santa Cruz Xoxocotlan, Oaxaca",Oaxaca,750,1,708226,17.026389,0,1,1,2,2
81,"San Pablo Huitzo, Oaxaca",Oaxaca,728,0,742189,17.2777969,0,1,1,1,2
82,"Jiquipilas, Chiapas",Chiapas,743,0,307476,16.57497565,0,1,1,2,3
83,"San Fernando, Tamaulipas",Tamaulipas,703,0,1492162,24.8466769,0,0,0,0,1
84,"Cordoba, Veracruz",Veracruz,609,0,687119,18.8944704,1,2,2,2,3
85,"Tuxtla Chico, Chiapas",Chiapas,19703,2,1835,14.8768619,4,5,5,5,5
86,"Tecate, Baja California",Baja California,738,0,4015439,32.5653831,0,0,0,1,1
87,"Tampico, Tamaulipas",Tamaulipas,47,1,1120911,22.2157619,0,0,1,1,2
88,"Jaumave, Tamaulipas",Tamaulipas,538,0,1421561,23.40496,0,0,0,0,1
89,"Monterrey, Nuevo Leon",Nuevo Leon,446,1,1660167,25.6802019,1,2,2,2,3
90,"Mezcalapa, Chiapas",Chiapas,439,0,388319,17.2364959,0,0,0,0,1
91,"Aguascalientes, Aguascalientes",Aguascalientes,44,1,1491359,22.0000001,0,0,0,0,0
92,"Caborca, Sonora",Sonora,413,0,3145678,30.7166014,0,0,0,0,0
93,"Chalco, Estado de Mexico",Estado de Mexico,411,1,952121,19.2612215,2,2,2,2,2
94,"Matamoros, Tamaulipas",Tamaulipas,374,1,1636595,25.8810158,0,0,0,0,0
95,"Catazaja, Chiapas",Chiapas,2052,1,134764,17.76826375,2,2,2,2,2
96,"San Marcos, Guerrero",Guerrero,379,0,1063625,16.85734375,0,0,0,0,0
97,"Durango, Durango",Durango,574,0,1874364,24.03507526,0,0,0,0,1
98,"Othon P. Blanco, Quintana Roo",Quintana Roo,347,0,37910,18.43704555,0,0,0,0,0
99,"Comalcalco, Tabasco",Tabasco,334,0,278177,18.2615076,0,0,0,0,0
100,"Tlacolula de Matamoros, Oaxaca",Oaxaca,351,0,683132,16.9314623,0,0,0,0,0
101,"Huehuetoca, Estado de Mexico",Estado de Mexico,349,0,1037604,19.833375,2,2,2,3,3
102,"La Paz, Baja California Sur",Baja California Sur,346,0,2636501,24.1619948,0,0,0,0,0
103,"Chenalho, Chiapas",Chiapas,,0,241559,16.9717161,0,0,0,0,0
104,"Apetatitlan de Antonio Carvajal, Tlaxcala",Tlaxcala,321,1,896718,19.3505173,3,3,3,3,3
105,"Comitan de Dominguez, Chiapas",Chiapas,178,2,60272,16.2911698,0,0,0,0,0
106,"Las Choapas, Veracruz",Veracruz,300,0,388786,17.56348585,0,0,0,0,0
107,"Coatzacoalcos, Veracruz",Veracruz,316,0,388224,18.1396787,1,1,1,1,1
108,"Allende, Coahuila",Coahuila,,0,2037885,28.3420816,0,0,0,0,0
109,"San Pedro Tapanatepec, Oaxaca",Oaxaca,283,1,317108,16.3689223,0,0,0,0,0
110,"Carmen, Campeche",Campeche,260,1,274885,18.651739,0,0,0,0,0
111,"Cotaxtla, Veracruz",Veracruz,144,0,652417,18.85765725,0,0,0,0,0
112,"Ixtenco, Tlaxcala",Tlaxcala,261,0,870042,19.2518725,2,2,2,2,2
113,"Tuxpan, Veracruz",Veracruz,218,0,967339,20.95647915,0,0,0,0,0
114,"Tonala, Chiapas",Chiapas,230,0,251033,16.0894476,1,1,1,1,1
115,"Guadalupe, Nuevo Leon",Nuevo Leon,223,1,1661086,25.6751114,1,2,2,2,3
116,"Santo Domingo Tehuantepec, Oaxaca",Oaxaca,222,0,464543,16.3172613,0,1,1,1,1
117,"Tepic, Nayarit",Nayarit,219,0,1717249,21.5119156,0,0,0,0,0
118,"Calakmul, Campeche",Campeche,211,0,,18.1073406,0,0,0,0,0
119,"Ecatepec de Morelos, Estado de Mexico",Estado de Mexico,185,0,1010826,19.6074415,3,3,4,4,4
120,"Ocosingo, Chiapas",Chiapas,70,0,175697,16.9057,0,0,0,0,0
121,"Juarez, Nuevo Leon",Nuevo Leon,180,1,1642261,25.6467011,1,1,1,1,2
122,"Solidaridad, Quintana Roo",Quintana Roo,166,0,,20.5843747,0,0,0,0,0
