,nommun,cvemun,estado,region,id_poligon,eventos,inm_30km,sc_30km,geometry
0,"Aguascalientes, Aguascalientes",19039,Aguascalientes,Centro,PG955,44,1,45,POINT (-102.5000001 22.0000001)
1,"Cosio, Aguascalientes",20184,Aguascalientes,Centro,PG994,98,0,0,POINT (-102.312008510523 22.3705155)
2,"Jesus Maria, Aguascalientes",10013,Aguascalientes,Centro,PG994,399,1,45,POINT (-102.468451716512 21.9345555)
3,"San Francisco de los Romo, Aguascalientes",17007,Aguascalientes,Centro,PG994,18,1,44,POINT (-102.2707133 22.0746282)
4,"Tijuana, Baja California",2004,Baja California,Pacifico,PG190,27405,1,47,POINT (-117.019529 32.5317397)
5,"Mexicali, Baja California",2002,Baja California,Pacifico,PG268,5667,1,17,POINT (-115.474899 32.6405247)
6,"Tecate, Baja California",,Baja California,Pacifico,PG190,738,0,5,POINT (-116.6298787 32.5653831)
7,"Playas de Rosarito, Baja California",20523,Baja California,Pacifico,PG189,38,1,13,POINT (-116.873307225176 32.25812915)
8,"Ensenada, Baja California",12001,Baja California,Pacifico,PG189,26,0,3,POINT (-116.602983 31.8658887)
9,"San Felipe, Baja California",20115,Baja California,Pacifico,PG305,5,0,0,POINT (-114.839607 31.0269529)
10,"La Paz, Baja California Sur",20551,Baja California Sur,Pacifico,PG529,346,0,4,POINT (-110.3158532 24.1619948)
11,"Los Cabos, Baja California Sur",,Baja California Sur,Pacifico,PG566,58,0,7,POINT (-109.689768413063 23.27184805)
12,"Campeche, Campeche",7071,Campeche,Sur,PG1654,430,1,8,POINT (-90.5355146399854 19.830285751988)
13,"Escarcega, Campeche",20418,Campeche,Sur,PG1613,2524,1,0,POINT (-90.7385823 18.606934)
14,"Carmen, Campeche",,Campeche,Sur,PG1574,260,1,2,POINT (-91.81492 18.651739)
15,"Calakmul, Campeche",19026,Campeche,Sur,PG1690,211,0,0,POINT (-89.8083280398131 18.1073406)
16,"Champoton, Campeche",7012,Campeche,Sur,PG1614,149,0,0,POINT (-90.7242742 19.3439655)
17,"Tenabo, Campeche",23003,Campeche,Sur,PG1654,21,0,0,POINT (-90.2254956 20.0406607)
18,"Palizada, Campeche",,Campeche,Sur,PG1534,21,0,0,POINT (-92.0907089 18.2549484)
19,"Seybaplaya, Campeche",20014,Campeche,Sur,PG1614,13,0,7,POINT (-90.6253669555515 19.60337225)
20,"Calkini, Campeche",,Campeche,Sur,PG1654,1,0,0,POINT (-90.0510784 20.3695121)
21,"Tapachula, Chiapas",7089,Chiapas,Sur,PG1530,70665,2,67,POINT (-92.2609265 14.9042905)
22,"Suchiate, Chiapas",7087,Chiapas,Sur,PG1529,28203,0,30,POINT (-92.241963360953 14.6321744)
23,"Huixtla, Chiapas",7040,Chiapas,Sur,PG1530,23755,3,3,POINT (-92.5039970760447 15.122125)
24,"Arriaga, Chiapas",7009,Chiapas,Sur,PG1453,19741,0,4,POINT (-93.9008414 16.2344709)
25,"Huehuetan, Chiapas",7037,Chiapas,Sur,PG1530,14693,4,67,POINT (-92.4286697906319 15.0217164)
26,"Tuxtla Gutierrez, Chiapas",7101,Chiapas,Sur,PG1493,10266,1,7,POINT (-93.115959 16.753801)
27,"Pijijiapan, Chiapas",7069,Chiapas,Sur,PG1492,11296,1,0,POINT (-93.2080195 15.6849991)
28,"Palenque, Chiapas",7065,Chiapas,Sur,PG1572,7730,2,24,POINT (-91.980922 17.509188)
29,"Union Juarez, Chiapas",7105,Chiapas,Sur,PG1530,2675,1,55,POINT (-92.0925428079992 15.07074175)
30,"Villa Comaltitlan, Chiapas",9017,Chiapas,Sur,PG1530,1823,2,2,POINT (-92.6128862908011 15.1709732)
31,"Ocozocoautla de Espinosa, Chiapas",4009,Chiapas,Sur,PG1454,1227,0,0,POINT (-93.4569635533782 16.7931431)
32,"Frontera Comalapa, Chiapas",26042,Chiapas,Sur,PG1531,793,2,0,POINT (-92.1422219 15.6590135)
33,"San Cristobal de las Casas, Chiapas",,Chiapas,Sur,PG1532,700,1,3,POINT (-92.6155184199116 16.6835469)
34,"Jiquipilas, Chiapas",20385,Chiapas,Sur,PG1454,743,0,1,POINT (-93.6056542788837 16.57497565)
35,"Tuxtla Chico, Chiapas",28035,Chiapas,Sur,PG1529,19703,2,67,POINT (-92.1967524545976 14.8768619)
36,"Mezcalapa, Chiapas",28017,Chiapas,Sur,PG1455,439,0,0,POINT (-93.6349751688609 17.2364959)
37,"Catazaja, Chiapas",,Chiapas,Sur,PG1534,2052,1,23,POINT (-92.0379312528531 17.76826375)
38,"Chenalho, Chiapas",20551,Chiapas,Sur,PG1532,1,0,3,POINT (-92.5192123769078 16.9717161)
39,"Comitan de Dominguez, Chiapas",3003,Chiapas,Sur,PG1531,178,2,6,POINT (-92.1753212427065 16.2911698)
40,"Tonala, Chiapas",,Chiapas,Sur,PG1453,230,0,4,POINT (-93.7546502 16.0894476)
41,"Ocosingo, Chiapas",20515,Chiapas,Sur,PG1532,70,0,0,POINT (-92.092776 16.9057)
42,"La Trinitaria, Chiapas",,Chiapas,Sur,PG1531,17,2,6,POINT (-92.0542431 16.1206164)
43,"Berriozabal, Chiapas",7099,Chiapas,Sur,PG1493,141,0,5,POINT (-93.3370761804707 16.87168945)
44,"Chiapa de Corzo, Chiapas",29005,Chiapas,Sur,PG1493,3578,1,7,POINT (-93.0115045 16.7075202)
45,"Mapastepec, Chiapas",2005,Chiapas,Sur,PG1491,35,0,1,POINT (-92.898367 15.43981)
46,"Escuintla, Chiapas",11005,Chiapas,Sur,PG1530,19,2,2,POINT (-92.5557653736153 15.35100255)
47,"Frontera Hidalgo, Chiapas",19018,Chiapas,Sur,PG1529,1356,1,67,POINT (-92.2161368344744 14.7531678)
48,"Salto de Agua, Chiapas",,Chiapas,Sur,PG1533,9,1,24,POINT (-92.2248024988609 17.4348976)
49,"Motozintla, Chiapas",,Chiapas,Sur,PG1530,8,2,3,POINT (-92.3488036187158 15.3050827)
50,"Villa Corzo, Chiapas",28012,Chiapas,Sur,PG1492,380,0,0,POINT (-93.2650025252038 16.0631888)
51,"Copainala, Chiapas",11007,Chiapas,Sur,PG1494,7,0,0,POINT (-93.2102105 17.0930214)
52,"Villaflores, Chiapas",28021,Chiapas,Sur,PG1493,2,0,0,POINT (-93.3589334041931 16.37550225)
53,"Yajalon, Chiapas",17008,Chiapas,Sur,PG1533,1,0,0,POINT (-92.3519609858044 17.1768885)
54,"Cintalapa de Figueroa, Chiapas",13075,Chiapas,Sur,PG1454,520,0,1,POINT (-93.7257625 16.6905402)
55,"Acacoyagua, Chiapas",,Chiapas,Sur,PG1530,2,0,1,POINT (-92.6972939305788 15.4060577)
56,"Siltepec, Chiapas",7001,Chiapas,Sur,PG1530,1,0,1,POINT (-92.3226035 15.5561492)
57,"Teopisca, Chiapas",6010,Chiapas,Sur,PG1532,1,0,3,POINT (-92.4736561 16.5420839)
58,"Pantepec, Chiapas",19019,Chiapas,Sur,PG1494,1,0,0,POINT (-93.0524660849375 17.1944142)
59,"Chicomuselo, Chiapas",13021,Chiapas,Sur,PG1531,1,0,0,POINT (-92.4192662013789 15.7935524)
60,"Juarez, Chihuahua",8037,Chihuahua,Centro,PG774,7964,1,31,POINT (-106.485655 31.7372575)
61,"Chihuahua, Chihuahua",8019,Chihuahua,Centro,PG769,2040,1,6,POINT (-106.0000001 28.5000001)
62,"Janos, Chihuahua",28027,Chihuahua,Centro,PG655,116,1,0,POINT (-108.1930484 30.8893267)
63,"Ojinaga, Chihuahua",,Chihuahua,Centro,PG887,101,0,0,POINT (-104.4128523 29.5654282)
64,"Iztapalapa, Ciudad de Mexico",9007,Ciudad de Mexico,Centro,PG1146,6091,1,134,POINT (-99.0929294 19.3591195)
65,"Venustiano Carranza, Ciudad de Mexico",23005,Ciudad de Mexico,Centro,PG1146,1828,1,134,POINT (-99.1135639 19.4192787)
66,"Gustavo A. Madero, Ciudad de Mexico",26018,Ciudad de Mexico,Centro,PG1146,995,1,132,POINT (-99.1137888 19.4831686)
67,"Coyoacan, Ciudad de Mexico",17017,Ciudad de Mexico,Centro,PG1146,1,1,134,POINT (-99.1623599 19.349885)
68,"Piedras Negras, Coahuila",,Coahuila,Centro,PG1081,21530,1,2,POINT (-100.5148362 28.7041725)
69,"Acuna, Coahuila",4002,Coahuila,Centro,PG1082,1672,0,1,POINT (-100.9322287 29.3248796)
