nommun,estado,region,id_poligon,codigo_uni,eventos,inm_30km,inm_in_gri,inm_in_est,eventos_ed,eventos_gr,sc_30km,promedio_s,sc_estado,geometry,distancia_metros,distancia_km,max_vul2r1_normalized,max_vul2r2_normalized,max_vul2r3_normalized,max_vul2r4_normalized,inm_30km_adjusted,log_eventos_per_inm_30km,norm_log_eventos_per_inm_30km,latitud
"Coyoacan, Ciudad de Mexico",Ciudad de Mexico,Centro,PG1146,C-PG1146-8,1,1,1,0,8915,14894,134,91.23076923,,POINT (-99.1623599 19.349885),986724,986.724,,,,,2,0.405465108,0.01062798,19.349885
"Ixmiquilpan, Hidalgo",Hidalgo,Centro,PG1147,C-PG1147-4,1,0,0,1,1046,3846,1,2.75,6,POINT (-99.218056 20.481944),1068213,1068.213,,,,,1,0.693147181,0.036586551,20.481944
"Santa Maria Tonameca, Oaxaca",Oaxaca,Sur,PG1297,S-PG1297-1,1,1,1,4,8835,203,0,0,16,POINT (-96.547222 15.745833),660595,660.595,,,,,2,0.405465108,0.01062798,15.745833
"Tepoztlan, Morelos",Morelos,Centro,PG1145,C-PG1145-6,1,0,0,0,45,42,9,7.833333333,9,POINT (-99.1025453272487 18.9914959),1203122,1203.122,,,,,1,0.693147181,0.036586551,18.9914959
"Siltepec, Chiapas",Chiapas,Sur,PG1530,S-PG1530-7,1,0,4,13,223058,113641,1,22.33333333,117,POINT (-92.3226035 15.5561492),54276,54.276,,,,,1,0.693147181,0.036586551,15.5561492
"Calkini, Campeche",Campeche,Sur,PG1654,S-PG1654-3,1,0,1,3,3630,452,0,2.666666667,10,POINT (-90.0510784 20.3695121),395892,395.892,,,,,1,0.693147181,0.036586551,20.3695121
"Acambay de Ruiz Castaneda, Estado de Mexico",Estado de Mexico,Centro,PG1108,C-PG1108-3,1,0,0,1,9586,1355,1,1.666666667,,POINT (-99.8480208629308 19.95904705),1104961,1104.961,,,,,1,0.693147181,0.036586551,19.95904705
"Alfajayucan, Hidalgo",Hidalgo,Centro,PG1147,C-PG1147-1,1,0,0,1,1046,3846,1,2.75,6,POINT (-99.4031534355859 20.410277),1095674,1095.674,,,,,1,0.693147181,0.036586551,20.410277
"Teopisca, Chiapas",Chiapas,Sur,PG1532,S-PG1532-3,1,0,1,13,223058,771,3,2.25,117,POINT (-92.4736561 16.5420839),112564,112.564,,,,,1,0.693147181,0.036586551,16.5420839
"San Pedro Ixtlahuaca, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-2,1,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.818056 17.063056),715049,715.049,,,,,2,0.405465108,0.01062798,17.063056
"Naucalpan de Juarez, Estado de Mexico",Estado de Mexico,Centro,PG1146,C-PG1146-4,1,1,1,1,9586,14894,132,91.23076923,,POINT (-99.2327986 19.4788356),994871,994.871,,,,,2,0.405465108,0.01062798,19.4788356
"Trinidad Zaachila, Oaxaca",Oaxaca,Sur,PG1298,S-PG1298-1,1,1,0,4,8835,463,8,4.857142857,16,POINT (-96.765 16.921389),712433,712.433,,,,,2,0.405465108,0.01062798,16.921389
"Santa Maria del Tule, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-14,1,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.6334574 17.0476822),692829,692.829,,,,,2,0.405465108,0.01062798,17.0476822
"San Antonio de la Cal, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-11,1,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.700556 17.028333),705904,705.904,,,,,2,0.405465108,0.01062798,17.028333
"Guasave, Sinaloa",Sinaloa,Pacifico,PG648,P-PG648-1,1,0,0,1,1070,1,2,2,12,POINT (-108.4674697 25.5738),2328247,2328.247,0.000589366,0.000203147,0.000292339,0.003148513,1,0.693147181,0.036586551,25.5738
"Montemorelos, Nuevo Leon",Nuevo Leon,Golfo,PG1115,G-PG1115-2,1,0,0,0,16985,5395,0,0,104,POINT (-99.8293539 25.1886604),1581287,1581.287,,,,,1,0.693147181,0.036586551,25.1886604
"Zapotlan el Grande, Jalisco",Jalisco,Pacifico,PG912,P-PG912-3,1,0,0,1,1428,9,1,4.333333333,86,POINT (-103.510648021864 19.6973465),1840190,1840.19,,,,,1,0.693147181,0.036586551,19.6973465
"Buenavista, Michoacan",Michoacan,Pacifico,PG951,P-PG951-1,1,0,0,0,317,1,1,1,13,POINT (-102.555157985076 19.21451245),1694373,1694.373,,,,,1,0.693147181,0.036586551,19.21451245
"Apatzingan, Michoacan",Michoacan,Pacifico,PG989,P-PG989-1,1,0,0,0,317,1,1,1,13,POINT (-102.3537356 19.0913792),1662158,1662.158,,,,,1,0.693147181,0.036586551,19.0913792
"Lazaro Cardenas, Michoacan",Michoacan,Pacifico,PG988,P-PG988-1,1,0,0,0,317,1,1,1,13,POINT (-102.198659 17.9594769),1789505,1789.505,,,,,1,0.693147181,0.036586551,17.9594769
"Apaseo el Alto, Guanajuato",Guanajuato,Centro,PG1069,C-PG1069-2,1,0,0,0,199,177,32,16,13,POINT (-100.621263 20.4562767),1201046,1201.046,,,,,1,0.693147181,0.036586551,20.4562767
"El Salto, Jalisco",Jalisco,Pacifico,PG953,P-PG953-1,1,1,0,1,1428,1,72,72,86,POINT (-103.1813141 20.5196964),1706496,1706.496,0.184650954,0.014284547,0.020951715,0.510164689,2,0.405465108,0.01062798,20.5196964
"San Pedro Garza Garcia, Nuevo Leon",Nuevo Leon,Golfo,PG1077,G-PG1077-4,1,1,1,0,16985,3453,99,74.2,104,POINT (-100.4018251 25.6651753),1666210,1666.21,,,,,2,0.405465108,0.01062798,25.6651753
"Cuitzeo, Michoacan",Michoacan,Pacifico,PG1030,P-PG1030-1,1,0,0,0,317,1,1,1,13,POINT (-101.1412203 19.9693141),1259101,1259.101,,,,,1,0.693147181,0.036586551,19.9693141
"Uruapan, Michoacan",Michoacan,Pacifico,PG990,P-PG990-1,1,0,0,0,317,1,1,1,13,POINT (-102.0522647 19.4147269),1583068,1583.068,,,,,1,0.693147181,0.036586551,19.4147269
"Coatepec, Veracruz",Veracruz,Golfo,PG1263,G-PG1263-3,1,0,0,3,66430,109,8,4.25,54,POINT (-96.9596375 19.4543134),803922,803.922,,,,,1,0.693147181,0.036586551,19.4543134
"San Juan Evangelista, Veracruz",Veracruz,Golfo,PG1378,G-PG1378-2,1,0,1,3,66430,45773,0,15,54,POINT (-95.2304293935886 17.76252635),495918,495.918,,,,,1,0.693147181,0.036586551,17.76252635
"Emiliano Zapata, Hidalgo",Hidalgo,Centro,PG1185,C-PG1185-8,1,0,0,1,1046,3233,1,12.92857143,6,POINT (-98.544552 19.6546865),935615,935.615,,,,,1,0.693147181,0.036586551,19.6546865
