Unnamed: 0,secuencias,ID_Ruta,Non_Unique_IDs,Filtered_Secuencias,Total_IDs,Count_Non_Unique_IDs,Count_Filtered_IDs,Last_Five_IDs,Arc_Sequences
0,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG884, PG845, PG846, PG807, PG808, PG769, PG770, PG771, PG732, PG693, PG694, PG655, PG656, PG617, PG578",RC0001,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG918', 'PG879', 'PG880', 'PG919', 'PG922', 'PG883', 'PG884', 'PG845', 'PG846', 'PG807', 'PG808', 'PG770', 'PG771', 'PG732', 'PG693', 'PG694', 'PG656', 'PG617']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG841, PG921, PG769, PG655, PG578",52,26,26,"['PG841', 'PG921', 'PG769', 'PG655', 'PG578']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG841, PG841-PG921, PG921-PG769, PG769-PG655, PG655-PG578"
1,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG884, PG845, PG846, PG807, PG808, PG769, PG770, PG771, PG772, PG773, PG774",RC0002,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG918', 'PG879', 'PG880', 'PG919', 'PG922', 'PG883', 'PG884', 'PG845', 'PG846', 'PG807', 'PG808', 'PG770', 'PG771', 'PG772', 'PG773']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG841, PG921, PG769, PG774",48,23,25,"['PG956', 'PG841', 'PG921', 'PG769', 'PG774']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG841, PG841-PG921, PG921-PG769, PG769-PG774"
2,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG884, PG845, PG846, PG807, PG808, PG769, PG808, PG809, PG848, PG887",RC0003,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG918', 'PG879', 'PG880', 'PG919', 'PG922', 'PG883', 'PG884', 'PG845', 'PG846', 'PG807', 'PG808', 'PG808', 'PG809', 'PG848']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG841, PG921, PG769, PG887",47,22,25,"['PG956', 'PG841', 'PG921', 'PG769', 'PG887']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG841, PG841-PG921, PG921-PG769, PG769-PG887"
3,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG1040, PG1041, PG1081, PG1082",RC0004,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG918', 'PG879', 'PG880', 'PG919', 'PG922', 'PG883', 'PG1041']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG841, PG921, PG1040, PG1081, PG1082",41,15,26,"['PG841', 'PG921', 'PG1040', 'PG1081', 'PG1082']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG841, PG841-PG921, PG921-PG1040, PG1040-PG1081, PG1081-PG1082"
4,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG1040, PG1041, PG1081",RC0005,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG918', 'PG879', 'PG880', 'PG919', 'PG922', 'PG883', 'PG1041']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG841, PG921, PG1040, PG1081",40,15,25,"['PG956', 'PG841', 'PG921', 'PG1040', 'PG1081']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG841, PG841-PG921, PG921-PG1040, PG1040-PG1081"
5,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG1040, PG1041, PG1081, PG1120",RC0006,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG918', 'PG879', 'PG880', 'PG919', 'PG922', 'PG883', 'PG1041']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG841, PG921, PG1040, PG1081, PG1120",41,15,26,"['PG841', 'PG921', 'PG1040', 'PG1081', 'PG1120']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG841, PG841-PG921, PG921-PG1040, PG1040-PG1081, PG1081-PG1120"
6,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG961, PG999, PG1038, PG1039, PG1040, PG1041, PG1081, PG1082",RC0007,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG918', 'PG879', 'PG880', 'PG919', 'PG999', 'PG1038', 'PG1039', 'PG1041']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG841, PG921, PG961, PG1040, PG1081, PG1082",43,16,27,"['PG921', 'PG961', 'PG1040', 'PG1081', 'PG1082']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG841, PG841-PG921, PG921-PG961, PG961-PG1040, PG1040-PG1081, PG1081-PG1082"
7,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG961, PG999, PG1038, PG1039, PG1040, PG1041, PG1081",RC0008,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG918', 'PG879', 'PG880', 'PG919', 'PG999', 'PG1038', 'PG1039', 'PG1041']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG841, PG921, PG961, PG1040, PG1081",42,16,26,"['PG841', 'PG921', 'PG961', 'PG1040', 'PG1081']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG841, PG841-PG921, PG921-PG961, PG961-PG1040, PG1040-PG1081"
8,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG961, PG999, PG1038, PG1039, PG1040, PG1041, PG1081, PG1120",RC0009,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG918', 'PG879', 'PG880', 'PG919', 'PG999', 'PG1038', 'PG1039', 'PG1041']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG841, PG921, PG961, PG1040, PG1081, PG1120",43,16,27,"['PG921', 'PG961', 'PG1040', 'PG1081', 'PG1120']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG841, PG841-PG921, PG921-PG961, PG961-PG1040, PG1040-PG1081, PG1081-PG1120"
9,"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG996, PG997, PG959, PG921, PG922, PG883, PG884, PG845, PG846, PG807, PG808, PG769, PG770, PG771, PG772, PG773, PG774",RC0010,"['PG1337', 'PG1122', 'PG1183', 'PG1107', 'PG1169', 'PG992', 'PG993', 'PG957', 'PG996', 'PG997', 'PG959', 'PG922', 'PG883', 'PG884', 'PG845', 'PG846', 'PG807', 'PG808', 'PG770', 'PG771', 'PG772', 'PG773']","PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1298, PG1299, PG1260, PG1261, PG1184, PG1145, PG1146, PG1108, PG1070, PG1031, PG994, PG995, PG956, PG921, PG769, PG774",46,22,24,"['PG995', 'PG956', 'PG921', 'PG769', 'PG774']","PG1529-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1298, PG1298-PG1299, PG1299-PG1260, PG1260-PG1261, PG1261-PG1184, PG1184-PG1145, PG1145-PG1146, PG1146-PG1108, PG1108-PG1070, PG1070-PG1031, PG1031-PG994, PG994-PG995, PG995-PG956, PG956-PG921, PG921-PG769, PG769-PG774"
