Arc,From_Node,To_Node,origen_xy,destino_xy
PG1529-PG1530,PG1529,PG1530,"14.6321744, -92.241963360953","14.9042905, -92.2609265"
PG1530-PG1491,PG1530,PG1491,"14.9042905, -92.2609265","15.43981, -92.898367"
PG1491-PG1492,PG1491,PG1492,"15.43981, -92.898367","15.6849991, -93.2080195"
PG1492-PG1453,PG1492,PG1453,"15.6849991, -93.2080195","16.2344709, -93.9008414"
PG1453-PG1414,PG1453,PG1414,"16.2344709, -93.9008414","16.2885299, -94.1942777"
PG1414-PG1415,PG1414,PG1415,"16.2885299, -94.1942777","16.3689223, -94.1927528"
PG1415-PG1376,PG1415,PG1376,"16.3689223, -94.1927528","16.413329, -94.9118794582709"
PG1376-PG1375,PG1376,PG1375,"16.413329, -94.9118794582709","16.1825, -95.195833"
PG1375-PG1297,PG1375,PG1297,"16.1825, -95.195833","15.8337711, -96.3214401"
PG1297-PG1258,PG1297,PG1258,"15.8337711, -96.3214401","15.8659835, -97.0043148"
PG1258-PG1219,PG1258,PG1219,"15.8659835, -97.0043148","16.1303062, -97.6080871"
PG1219-PG1220,PG1219,PG1220,"16.1303062, -97.6080871","16.3411829, -97.9346251942668"
PG1220-PG1221,PG1220,PG1221,"16.3411829, -97.9346251942668","17.334443, -98.010574"
PG1221-PG1222,PG1221,PG1222,"17.334443, -98.010574","17.808846, -97.7780564"
PG1222-PG1143,PG1222,PG1143,"17.808846, -97.7780564","17.5542149, -99.5048416"
PG1143-PG1103,PG1143,PG1103,"17.5542149, -99.5048416","16.8680495, -99.8940182"
PG1103-PG1027,PG1103,PG1027,"16.8680495, -99.8940182","17.80789995, -101.496952435006"
PG1027-PG988,PG1027,PG988,"17.80789995, -101.496952435006","17.9594769, -102.198659"
PG988-PG872,PG988,PG872,"17.9594769, -102.198659","19.0506256, -104.3159957"
PG872-PG797,PG872,PG797,"19.0506256, -104.3159957","20.8290434, -105.317508736965"
PG797-PG837,PG797,PG837,"20.8290434, -105.317508736965","21.5119156, -104.8915889"
