,arc,nommun,cvemun,region,dist_ori,dist_des,inm_30km,sc_30km,dis_tot,geometry,eventos,area,R1,R2,R3,R4,tipo_nodo,vul2r1,vul2r1_normalized
0,PG1529-PG1530,"Suchiate, Chiapas",7087.0,Sur,0.0,35.571,1,21,40.896,POINT (-92.241963360953 14.6321744),28203.0,233.0703891,0.012423924,0.01,0.01241222,0.49018987,origen,90.29316992337597,0.2073586622908018
1,PG1529-PG1530,"Frontera Hidalgo, Chiapas",7035.0,Desconocido,18.038,22.858,1,67,40.896,POINT (-92.21495991317006 14.751965863241532),1356.0,116.4079398,0.010346275,0.070431522,0.010247407,0.492581911,intersectante,,
2,PG1529-PG1530,"Tapachula, Chiapas",7089.0,Sur,35.571,0.0,2,67,40.896,POINT (-92.26092649999998 14.904290500000007),70665.0,965.1183981,0.05224554,0.356292983,0.01686555,0.470408593,destino,54.29310417794118,0.18432506827194345
3,PG1530-PG1491,"Tapachula, Chiapas",7089.0,Sur,0.0,102.715,2,67,115.3131429,POINT (-92.26092649999998 14.904290500000007),70665.0,965.1183981,0.05224554,0.356292983,0.01686555,0.470408593,origen,224.675267736428,0.24893172667030997
4,PG1530-PG1491,"Acacoyagua, Chiapas",7001.0,Desconocido,84.39,31.889,1,1,115.3131429,POINT (-92.68515207704802 15.415467836200296),2.0,264.1265294,0.01,0.320212601,0.01,0.491576383,intersectante,,
5,PG1530-PG1491,"Acapetahua, Chiapas",7003.0,Desconocido,83.791,34.6,2,1,115.3131429,POINT (-92.77365390071812 15.227892075163643),,558.7687225,0.013462749,0.01,0.010432963,0.49659788,intersectante,,
6,PG1530-PG1491,"Escuintla, Chiapas",7032.0,Desconocido,85.846,46.247,2,2,115.3131429,POINT (-92.56016696490356 15.371336914629843),19.0,398.5195021,0.0113851,0.01,0.010061852,0.493905134,intersectante,,
7,PG1530-PG1491,"Huehuetan, Chiapas",7037.0,Desconocido,24.801,82.354,4,67,115.3131429,POINT (-92.42202643272334 15.002507550619033),14693.0,310.0031404,0.013809024,0.01,0.010123704,0.489594736,intersectante,,
8,PG1530-PG1491,"Huixtla, Chiapas",7040.0,Desconocido,46.851,61.052,3,3,115.3131429,POINT (-92.54080728914434 15.103894549825593),23755.0,437.7730141,0.015194124,0.066977378,0.010989629,0.488503223,intersectante,,
9,PG1530-PG1491,"Tuzantan, Chiapas",7103.0,Desconocido,41.623,72.161,3,7,115.3131429,POINT (-92.40256545603437 15.141401228135999),,206.5779701,0.011731375,0.01,0.010123704,0.494847908,intersectante,,
