"ciudad","tipo","name","description","geometry_str","Tipo","Name","Description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","descripci__n","Metro_cercano","Tel__fono","Horario","Descripci__n","Horario_atenci__n","Descrici__n"
NA,NA,NA,"Asistencia humanitaria y de alojamiento a personas migrantes y que buscan protección en México.	<br><br>Calle José Guadalupe Posada S/N, Barrio de Guadalupe. <br><br>449 224 9548	<br><br>Lunes a domingo, 8:00 - 20:00 hrs.","c(-102.3075858, 21.8859981, 0)","Albergue / Alimentación / Compras","Casa Migrante Camino a la Vida",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Alimentos saludables a bajo costo.	<br><br>2a. Privada Gral. Emiliano Zapata No. 202, Centro. <br><br>449 915 9294 <br><br>Lunes a viernes, Desayuno: 7:00 - 11:00 hrs.","c(-102.3011164, 21.8821255, 0)","Albergue / Alimentación / Compras","Cáritas Diocesana",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Alimentos saludables a bajo costo.	<br><br>Avenida José Ma. Chávez No. 1101, Col. Las Américas. <br><br>449 978 2454	<br><br>Lunes a viernes 13:00 hrs.","c(-102.2950688, 21.868025, 0)","Albergue / Alimentación / Compras","Parroquia De Las Tres Ave Marías",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Alimentos saludables para personas adultas mayores.	<br><br>Calle Libertad casi esquina con calle Mora, Centro.	<br><br>	Lunes, martes, jueves, viernes y sábado 13:00 hrs.","c(-102.299825, 21.8874131, 0)","Albergue / Alimentación / Compras","Comer del Abuelo",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Alimentos saludables a bajo costo.	<br><br>Calle Álamo No. 404, Col. El Sol.	<br><br>	Lunes, miércoles y viernes a las 13:00","c(-102.2957278, 21.8938054, 0)","Albergue / Alimentación / Compras","Comedor San Judas Tadeo",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Venta de alimentos y productos básicos.<br><br>Calle Unión, Centro.	<br><br>	Lunes a domingo, 9:00 - 17:00 hrs.","c(-102.2966212, 21.8845297, 0)","Compras / Cultura y Recreación","Mercado Terán Juárez",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Venta de alimentos y productos básicos.	<br><br>Calle Del Abasto S/N, Col. San Francisco del Arenal.	<br><br>	Lunes a domingo, 9:00 - 17:00 hrs.","c(-102.2929618, 21.8320703, 0)","Compras / Cultura y Recreación","Central de Abastos Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Vinculación cultural, servicios y derechos culturales a la población en general.	<br><br>Calle Antonio Acevedo No. 131, Centro.	<br><br>449 915 0700	<br><br>Lunes a viernes, 9:00 - 16:00 hrs.","c(-102.2945313, 21.8799223, 0)","Compras / Cultura y Recreación","Instituto Municipal Aguascalentense para la Cultura",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Vinculación cultural, servicios y derechos culturales a la población en general.	<br><br>Calle Venustiano Carranza No. 101, Centro.	<br><br>449 910 2010	<br><br>Lunes a viernes, 9:00 - 20:00 hrs.","c(-102.2991832, 21.8812135, 0)","Compras / Cultura y Recreación","Instituto Cultural de Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Promueve y mejora la calidad de vida física, social, emocional y productiva de las personas de todos los niveles socioeconómicos. <br><br>	Avenida Convención de 1914, Col. Héroes.	<br><br>449 970 1350	<br><br>Lunes a viernes, 8:30 - 17:00 hrs.","c(-102.2717397, 21.8806298, 0)","Compras / Cultura y Recreación","Instituto del Deporte del Estado de Aguascalientes",NA,NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
