,Unnamed: 0.1,Unnamed: 0,organization name,facility name,tipo,direccion,latitud,longitud,estado,municipio,geometry,fuente,region
0,0,0,,Oficina de la Comisión Nacional de los Derechos Humanos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil","Calle Cristóbal Colón 12, Fraccionamiento Costa Azul, C.P. 39850, Acapulco, Guerrero.",16.8509213,-99.8501576,Guerrero,Acapulco de Juarez,POINT (-99.8501576 16.8509213),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Pacifico
1,1,1,,Unidad Regional Acapulco,Institucion publica / Educacion y Empleo,"Calle Laurel No. 3, Col. El Roble, Acapulco de Juárez, Guerrero, C.P. 39640.",16.8675479,-99.87357620000002,Guerrero,Acapulco de Juarez,POINT (-99.87357620000002 16.8675479),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Pacifico
2,2,2,,ACNUR Agencia de la ONU para los Regufiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,17.9535286,-94.9162539,Veracruz,Acayucan,POINT (-94.9162539 17.9535286),OIM Directorio Virtual Servicios,Golfo
3,3,3,,Agencia Consular de El Salvador en Acayucan,Consulados,"Melchor Ocampo Norte 1212, entre 5 de mayo y Gutiérrez Zamora, Col. Villalta, C.P. 96000, Acayucan",17.9548865,-94.9156218,Veracruz,Acayucan,POINT (-94.9156218 17.9548865),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Golfo
4,4,4,,Agencia Consular de Guatemala en Acayucan,Consulados,"Calle Independencia, esq. Altamirano, Barrio el Zapotal, C.P. 96039, Acayucan",17.9503035,-94.9085939,Veracruz,Acayucan,POINT (-94.9085939 17.9503035),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Golfo
5,5,5,,Asylum Access ,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,17.9551804,-94.9187904,Veracruz,Acayucan,POINT (-94.9187904 17.9551804),OIM Directorio Virtual Servicios,Golfo
6,6,6,,COMAR - Comisión Mexicana de Ayuda a Refugiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,18.0016465,-94.9222498,Veracruz,Acayucan,POINT (-94.9222498 18.0016465),OIM Directorio Virtual Servicios,Golfo
7,7,7,,Casa De La Cultura,Compras / Cultura y Recreacion,no disponible,17.9434801,-94.9109158,Veracruz,Acayucan,POINT (-94.9109158 17.9434801),OIM Directorio Virtual Servicios,Golfo
8,8,8,,Central Camionera de Acayucan,Transporte,no disponible,17.9479436,-94.9047638,Veracruz,Acayucan,POINT (-94.9047638 17.9479436),OIM Directorio Virtual Servicios,Golfo
9,9,9,,Comisión Estatal de Derechos Humanos - Delegación √âtnica Acayucan,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,17.950808,-94.9109558,Veracruz,Acayucan,POINT (-94.9109558 17.950808),OIM Directorio Virtual Servicios,Golfo
10,10,10,,Consulado de EI Salvador,Consulados,no disponible,17.9565032,-94.9103659,Veracruz,Acayucan,POINT (-94.9103659 17.9565032),OIM Directorio Virtual Servicios,Golfo
11,11,11,,Consulado de Guatemala ,Consulados,no disponible,17.950305,-94.9085382,Veracruz,Acayucan,POINT (-94.9085382 17.950305),OIM Directorio Virtual Servicios,Golfo
12,12,12,,Consulado de Honduras en Acayucan,Consulados,no disponible,17.9486538,-94.9140625,Veracruz,Acayucan,POINT (-94.9140625 17.9486538),OIM Directorio Virtual Servicios,Golfo
13,13,13,,Cruz Roja Delegación Acayucan,Salud,no disponible,17.9478892,-94.9119019,Veracruz,Acayucan,POINT (-94.9119019 17.9478892),OIM Directorio Virtual Servicios,Golfo
14,14,14,,Dirección Municipal de Atención a Migrantes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,17.9489039,-94.9136816,Veracruz,Acayucan,POINT (-94.9136816 17.9489039),OIM Directorio Virtual Servicios,Golfo
15,15,15,,Estación Migratoria de Acayucan - INM - Instituto Nacional de Migración,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,18.0017518,-94.9217003,Veracruz,Acayucan,POINT (-94.9217003 18.0017518),OIM Directorio Virtual Servicios,Golfo
16,16,16,,Fiscalía Especializada en Atención a Migrantes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,17.948613,-94.9137246,Veracruz,Acayucan,POINT (-94.9137246 17.948613),OIM Directorio Virtual Servicios,Golfo
17,17,17,,Instituto Municipal de la Mujer,"Mujer, Niñez y Juventud",no disponible,17.9489541,-94.9140116,Veracruz,Acayucan,POINT (-94.9140116 17.9489541),OIM Directorio Virtual Servicios,Golfo
18,18,18,,"Procuraduría Municipal de Protección a Niilas, Niilos y Adolescentes","Mujer, Niñez y Juventud",no disponible,17.9526937,-94.921806,Veracruz,Acayucan,POINT (-94.921806 17.9526937),OIM Directorio Virtual Servicios,Golfo
19,19,19,,RET,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,17.9553111,-94.9189622,Veracruz,Acayucan,POINT (-94.9189622 17.9553111),OIM Directorio Virtual Servicios,Golfo
20,20,20,,"Unidad Deportiva ""El Greco""",Compras / Cultura y Recreacion,no disponible,17.9366139,-94.9209507,Veracruz,Acayucan,POINT (-94.9209507 17.9366139),OIM Directorio Virtual Servicios,Golfo
21,21,21,,Unidad Regional Acuña,Institucion publica / Educacion y Empleo,"Calle Lerdo No. 355 Local 12, Col. Zona Centro, Acuña, Coahuila, C.P. 26200.",29.32325539999999,-100.9337241,Coahuila,Acuña,POINT (-100.9337241 29.32325539999999),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
22,22,22,Centro de Recursos para Migrantes,Agua Prieta,Albergue y Alimentacion,"Calle Primera, Av. 3, s/n, C.P. 26000",31.3277755,-109.5489617,Sonora,Agua Prieta,POINT (-109.5489617 31.3277755),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Pacifico
23,23,23,Centro de Atención al Migrante,Exodus,Albergue y Alimentacion,"Calle 6 y Avenida Anahuac, Col. Ferrocarril, C.P. 84200",31.33269080713001,-109.5670068677027,Sonora,Agua Prieta,POINT (-109.5670068677027 31.33269080713001),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Pacifico
24,24,24,,ACNUR La Agencia de la ONU para los Refugiados,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,21.8782219,-102.2949742,Aguascalientes,Aguascalientes,POINT (-102.2949742 21.8782219),OIM Directorio Virtual Servicios,Centro
25,25,25,,Aeropuerto Internacional de Aguascalientes,Transporte,no disponible,21.701298,-102.3162276,Aguascalientes,Aguascalientes,POINT (-102.3162276 21.701298),OIM Directorio Virtual Servicios,Centro
26,26,26,,Bomberos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,21.8750136,-102.2553556,Aguascalientes,Aguascalientes,POINT (-102.2553556 21.8750136),OIM Directorio Virtual Servicios,Centro
27,27,27,Casa del migrante,Camino a la Vida,Albergue y Alimentacion,"José Guadalupe Posada 828, Barrio Guadalupe (a un lado del Panteón de la Cruz) C.P. 20000",21.886249,-102.3078759,Aguascalientes,Aguascalientes,POINT (-102.3078759 21.886249),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
28,28,28,,Casa Migrante Camino a la Vida,Albergue y Alimentacion,no disponible,21.8859981,-102.3075858,Aguascalientes,Aguascalientes,POINT (-102.3075858 21.8859981),OIM Directorio Virtual Servicios,Centro
29,29,29,,Centenario Hospital Miguel Hidalgo,Salud,no disponible,21.8947652,-102.2825251,Aguascalientes,Aguascalientes,POINT (-102.2825251 21.8947652),OIM Directorio Virtual Servicios,Centro
30,30,30,,Central de Abastos Aguascalientes,Compras / Cultura y Recreacion,no disponible,21.8320703,-102.2929618,Aguascalientes,Aguascalientes,POINT (-102.2929618 21.8320703),OIM Directorio Virtual Servicios,Centro
31,31,31,,Centro Ambulatorio para la Prevenci√≤n y Atención del VIH/SIDA (CAPASITS),Salud,no disponible,21.8575533,-102.2550007,Aguascalientes,Aguascalientes,POINT (-102.2550007 21.8575533),OIM Directorio Virtual Servicios,Centro
32,32,32,,"Centro de Asistencia Social de Niñas, Niños y Adolescentes Migrantes","Mujer, Niñez y Juventud","Argentina 710, Col. Agricultura Aguascalientes, Ags. C. P. 20234",21.8632023,-102.2973602,Aguascalientes,Aguascalientes,POINT (-102.2973602 21.8632023),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
33,33,33,,Centro de Justicia para Mujeres,"Mujer, Niñez y Juventud",no disponible,21.8668426,-102.2528075,Aguascalientes,Aguascalientes,POINT (-102.2528075 21.8668426),OIM Directorio Virtual Servicios,Centro
34,34,34,,Colectivo SERGAY de Aguascalientes A. C. ,LGBTQ,no disponible,21.8741711,-102.2717588,Aguascalientes,Aguascalientes,POINT (-102.2717588 21.8741711),OIM Directorio Virtual Servicios,Centro
35,35,35,,Comedor San Judas Tadeo,Albergue y Alimentacion,no disponible,21.8938054,-102.2957278,Aguascalientes,Aguascalientes,POINT (-102.2957278 21.8938054),OIM Directorio Virtual Servicios,Centro
36,36,36,,Comer del Abuelo,Albergue y Alimentacion,no disponible,21.8874131,-102.299825,Aguascalientes,Aguascalientes,POINT (-102.299825 21.8874131),OIM Directorio Virtual Servicios,Centro
37,37,37,,Comisión Estatal de Derechos Humanos de Aguascalientes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil","República de Perú 502, Fracc. Jardines de Santa Elena, C.P. 20236, Aguascalientes",21.8644747,-102.3023486,Aguascalientes,Aguascalientes,POINT (-102.3023486 21.8644747),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
38,38,38,,Cruz Roja Estatal Aguascalientes,Salud,"Dr. Enrique González Medina 104, Fracc. El Dorado C.P. 20230, Aguascalientes",21.8685635,-102.2991491,Aguascalientes,Aguascalientes,POINT (-102.2991491 21.8685635),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
39,39,39,,Cáritas Diocesana,Albergue y Alimentacion,no disponible,21.8821255,-102.3011164,Aguascalientes,Aguascalientes,POINT (-102.3011164 21.8821255),OIM Directorio Virtual Servicios,Centro
40,40,40,,DIF Estatal Aguascalientes,"Mujer, Niñez y Juventud","Av. de Los Maestros s/n, esq. Av. de la Convencion de 1914 Sur, Col. España, C.P. 20210 Aguascalientes, Ags.",21.8676712,-102.309394,Aguascalientes,Aguascalientes,POINT (-102.309394 21.8676712),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
41,41,41,,Fiscalía General del Estado,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,21.880829,-102.282492,Aguascalientes,Aguascalientes,POINT (-102.282492 21.880829),OIM Directorio Virtual Servicios,Centro
42,42,42,,IEA Instituto de Educación de Aguascalientes,Institucion publica / Educacion y Empleo,no disponible,21.8719461,-102.2536985,Aguascalientes,Aguascalientes,POINT (-102.2536985 21.8719461),OIM Directorio Virtual Servicios,Centro
43,43,43,,Instituto Aguascalentense de la Juventud,Institucion publica / Educacion y Empleo,no disponible,21.8696464,-102.2628415,Aguascalientes,Aguascalientes,POINT (-102.2628415 21.8696464),OIM Directorio Virtual Servicios,Centro
44,44,44,,Instituto Aguascalentense de las Mujeres,"Mujer, Niñez y Juventud","Avenida Independencia No. 1844, Fraccionamiento Jardines de la Concepción Segunda Sección, C.P. 20120",21.9221361,-102.2981828,Aguascalientes,Aguascalientes,POINT (-102.2981828 21.9221361),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
45,45,45,,Instituto Cultural de Aguascalientes,Compras / Cultura y Recreacion,no disponible,21.8812135,-102.2991832,Aguascalientes,Aguascalientes,POINT (-102.2991832 21.8812135),OIM Directorio Virtual Servicios,Centro
46,46,46,,Instituto Federal de la Defensoría Pública (IFDP),"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,21.8590472,-102.3051088,Aguascalientes,Aguascalientes,POINT (-102.3051088 21.8590472),OIM Directorio Virtual Servicios,Centro
47,47,47,,Instituto Mexicano del Seguro Social (IMSS),Salud,no disponible,21.8704618,-102.2969018,Aguascalientes,Aguascalientes,POINT (-102.2969018 21.8704618),OIM Directorio Virtual Servicios,Centro
48,48,48,,Instituto Municipal Aguascalentense para la Cultura,Compras / Cultura y Recreacion,no disponible,21.8799223,-102.2945313,Aguascalientes,Aguascalientes,POINT (-102.2945313 21.8799223),OIM Directorio Virtual Servicios,Centro
49,49,49,,Instituto Municipal de la Juventud,"Mujer, Niñez y Juventud",no disponible,21.8815815,-102.295057,Aguascalientes,Aguascalientes,POINT (-102.295057 21.8815815),OIM Directorio Virtual Servicios,Centro
50,50,50,,Instituto Municipal de la Mujer de Aguascalientes,"Mujer, Niñez y Juventud",no disponible,21.8850228,-102.2919403,Aguascalientes,Aguascalientes,POINT (-102.2919403 21.8850228),OIM Directorio Virtual Servicios,Centro
51,51,51,,Instituto de Asesoría y Defensoría Pública del Estado de Aguascalientes,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil",no disponible,21.8855849,-102.2902495,Aguascalientes,Aguascalientes,POINT (-102.2902495 21.8855849),OIM Directorio Virtual Servicios,Centro
52,52,52,,Instituto del Deporte del Estado de Aguascalientes,Compras / Cultura y Recreacion,no disponible,21.8806298,-102.2717397,Aguascalientes,Aguascalientes,POINT (-102.2717397 21.8806298),OIM Directorio Virtual Servicios,Centro
53,53,53,,Instituto para la Educación de las Personas Jóvenes y Adultas (INEPJA),Institucion publica / Educacion y Empleo,no disponible,21.8699055,-102.2971792,Aguascalientes,Aguascalientes,POINT (-102.2971792 21.8699055),OIM Directorio Virtual Servicios,Centro
54,54,54,,Jardín de San Marcos,Compras / Cultura y Recreacion,no disponible,21.8795807,-102.303231,Aguascalientes,Aguascalientes,POINT (-102.303231 21.8795807),OIM Directorio Virtual Servicios,Centro
55,55,55,,Mercado Terán Juárez,Compras / Cultura y Recreacion,no disponible,21.8845297,-102.2966212,Aguascalientes,Aguascalientes,POINT (-102.2966212 21.8845297),OIM Directorio Virtual Servicios,Centro
56,56,56,,"Oficina de Atención a Migrantes Aguascalentenses y Familiares, OFAM","Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil","Hornedo 104, Zona Centro, C.P. 20000, Aguascalientes, Ags",21.878997,-102.2955813,Aguascalientes,Aguascalientes,POINT (-102.2955813 21.878997),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
57,57,57,,Oficina de la Comisión Nacional de los Derechos Humanos,"Justicia / Derechos Humanos / Seguridad / Organismos Publicos,  Internacionales y de la Sociedad Civil","Calle Francisco I. Madero 447, Zona Centro C.P. 20000, Aguascalientes",21.8830251,-102.2888148,Aguascalientes,Aguascalientes,POINT (-102.2888148 21.8830251),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
58,58,58,,Parque Ecologico El Cedazo,Compras / Cultura y Recreacion,no disponible,21.8686361,-102.2563303,Aguascalientes,Aguascalientes,POINT (-102.2563303 21.8686361),OIM Directorio Virtual Servicios,Centro
59,59,59,,Parque Rodolfo Landeros,Compras / Cultura y Recreacion,no disponible,21.8516852,-102.2915138,Aguascalientes,Aguascalientes,POINT (-102.2915138 21.8516852),OIM Directorio Virtual Servicios,Centro
60,60,60,,Parroquia De Las Tres Ave Marías,Albergue y Alimentacion,no disponible,21.868025,-102.2950688,Aguascalientes,Aguascalientes,POINT (-102.2950688 21.868025),OIM Directorio Virtual Servicios,Centro
61,61,61,,"Procuraduría de Protección de Niñas, Niños y Adolescentes ","Mujer, Niñez y Juventud",no disponible,21.8678745,-102.3095092,Aguascalientes,Aguascalientes,POINT (-102.3095092 21.8678745),OIM Directorio Virtual Servicios,Centro
62,62,62,,Proyecto Habesha,Institucion publica / Educacion y Empleo,no disponible,21.8807825,-102.3002149,Aguascalientes,Aguascalientes,POINT (-102.3002149 21.8807825),OIM Directorio Virtual Servicios,Centro
63,63,63,,Secretaría de Bienestar,Institucion publica / Educacion y Empleo,no disponible,21.8384489,-102.2794489,Aguascalientes,Aguascalientes,POINT (-102.2794489 21.8384489),OIM Directorio Virtual Servicios,Centro
64,64,64,,Servicio Nacional de Empleo Aguascalientes,Institucion publica / Educacion y Empleo,no disponible,21.8589705,-102.2983128,Aguascalientes,Aguascalientes,POINT (-102.2983128 21.8589705),OIM Directorio Virtual Servicios,Centro
65,65,65,,Subsecretaria del Trabajo,Institucion publica / Educacion y Empleo,"Av. Aguascalientes Sur No. 3214, Fracc. Prados del Sur, Aguascalientes, Aguascalientes, C.P. 20280.",21.858911,-102.298284,Aguascalientes,Aguascalientes,POINT (-102.298284 21.858911),OIM Directorio Asistencia a Personas migrantes en Mexico 2018,Centro
66,66,66,,Terminal de autobuses Aguascalientes,Transporte,no disponible,21.8657368,-102.2989623,Aguascalientes,Aguascalientes,POINT (-102.2989623 21.8657368),OIM Directorio Virtual Servicios,Centro
