,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 12,subtotal 12,presentados total,canalizados total,total
268,"Santa Ana, Sonora",30.5410922,-111.1184881,municipio,"Huimanguillo, Tab.",1159,490,1649,1004,747,1751,1230,782,2012,1278,980,2258,2852,1053,3905,3944,325,4269,6889,443,7332,11380,755,12135,11866,754,12620,12689,869,13558,13224,669,13893,10942,360,11302,78457,8227,86684
265,"Nogales, Sonora",31.3285057,-110.9450472,municipio,"Centro, Tab.",636,42,678,274,101,375,738,152,890,131,38,169,1983,172,2155,4915,188,5103,7420,317,7737,8202,657,8859,9187,2076,11263,5661,1677,7338,11628,501,12129,17357,107,17464,68132,6028,74160
327,"Yauhquemehcan, Tlaxcala",19.4057444,-98.1824244,municipio,"Acayucan, Ver.",1232,28,1260,1180,43,1223,2031,0,2031,1249,36,1285,3495,61,3556,3094,796,3890,3524,540,4064,4949,43,4992,5182,42,5224,4222,48,4270,2817,42,2859,1784,8,1792,34759,1687,36446
274,"Cunduacán, Tabasco",18.066059,-93.173675,municipio,"Tenosique, Tab.",231,169,400,331,280,611,698,730,1428,296,331,627,1406,246,1652,3252,111,3363,2853,97,2950,6415,300,6715,4554,385,4939,4542,926,5468,5567,944,6511,4595,361,4956,34740,4880,39620
50,"Tapachula, Chiapas",14.9042905,-92.2609265,municipio,"Tapachula, Chis.",1606,4559,6165,1877,3819,5696,2602,2670,5272,995,312,1307,3396,2562,5958,5603,4222,9825,6106,4333,10439,54,4857,4911,6014,3379,9393,2305,2288,4593,1393,2157,3550,2540,1016,3556,34491,36174,70665
270,"Cárdenas, Tabasco",17.990878,-93.3753314,municipio,"Macuspana, Tab.",164,41,205,174,46,220,261,84,345,206,116,322,705,128,833,2070,61,2131,3284,72,3356,4794,102,4896,4539,56,4595,3259,379,3638,4382,150,4532,6566,100,6666,30404,1335,31739
263,"Imuris, Sonora",30.7874899,-110.8463861,municipio,"Cárdenas, Tab.",104,21,125,99,47,146,132,42,174,87,26,113,535,108,643,1367,6,1373,1759,5,1764,3418,3,3421,2793,3,2796,3374,10,3384,3681,198,3879,5316,16,5332,22665,485,23150
69,"Allende, Coahuila",28.3420816,-100.8517302,municipio,"Piedras Negras, Coah.",2974,623,3597,903,444,1347,1446,324,1770,1514,177,1691,772,440,1212,872,658,1530,817,579,1396,681,538,1219,929,184,1113,1056,205,1261,943,545,1488,2914,992,3906,15821,5709,21530
53,"Tuxtla Chico, Chiapas",14.8768619,-92.19675245,municipio,"Tuxtla Chico, Chis.",84,30,114,0,0,0,571,55,626,144,0,144,1755,126,1881,1849,2,1851,3165,341,3506,9,916,925,3931,1277,5208,1984,525,2509,1254,983,2237,561,141,702,15307,4396,19703
10,"La Paz, Baja California Sur",24.1619948,-110.3158532,municipio,"Tijuana, BC",402,577,979,501,997,1498,927,1860,2787,694,1527,2221,717,958,1675,833,582,1415,1287,731,2018,1328,1509,2837,1823,1848,3671,1721,1288,3009,1439,996,2435,1573,1287,2860,13245,14160,27405
