,Unnamed: 0.1,Unnamed: 0,Entidad Federativa / Municipio,Presentados,Municipio
0,0,5,"Aguascalientes, Aguascalientes",44,Aguascalientes
1,1,6,"Cosio, Aguascalientes",98,Aguascalientes
2,2,7,"Jesus Maria, Aguascalientes",399,Aguascalientes
3,3,8,"San Francisco de los Romo, Aguascalientes",18,Aguascalientes
4,4,11,"Ensenada, Baja California",26,Baja California
5,5,12,"Mexicali, Baja California",5667,Baja California
6,6,13,"Playas de Rosarito, Baja California",38,Baja California
7,7,14,"San Felipe, Baja California",5,Baja California
8,8,15,"San Quintin, Baja California",3,Baja California
9,9,16,"Tecate, Baja California",738,Baja California
10,10,17,"Tijuana, Baja California",27405,Baja California
11,11,20,"La Paz, Baja California Sur",346,Baja California Sur
12,12,21,"Los Cabos, Baja California Sur",58,Baja California Sur
13,13,24,"Calakmul, Campeche",211,Campeche
14,14,25,"Calkini, Campeche",1,Campeche
15,15,26,"Campeche, Campeche",430,Campeche
16,16,27,"Carmen, Campeche",260,Campeche
17,17,28,"Champoton, Campeche",149,Campeche
18,18,29,"Escarcega, Campeche",2524,Campeche
19,19,30,"Palizada, Campeche",21,Campeche
20,20,31,"Seybaplaya, Campeche",13,Campeche
21,21,32,"Tenabo, Campeche",21,Campeche
22,22,35,"Acacoyagua, Chiapas",2,Chiapas
23,23,36,"Acapetahua, Chiapas",6320,Chiapas
24,24,37,"Arriaga, Chiapas",19741,Chiapas
25,25,38,"Berriozabal, Chiapas",141,Chiapas
26,26,39,"Catazaja, Chiapas",2052,Chiapas
27,27,40,"Chanal, Chiapas",1,Chiapas
28,28,41,"Chiapa de Corzo, Chiapas",3578,Chiapas
29,29,42,"Cintalapa de Figueroa, Chiapas",520,Chiapas
30,30,43,"Comitan de Dominguez, Chiapas",178,Chiapas
31,31,44,"Copainala, Chiapas",7,Chiapas
32,32,45,"Escuintla, Chiapas",19,Chiapas
33,33,46,"Frontera Comalapa, Chiapas",793,Chiapas
34,34,47,"Frontera Hidalgo, Chiapas",1356,Chiapas
35,35,48,"Huehuetan, Chiapas",14693,Chiapas
36,36,49,"Huixtla, Chiapas",23755,Chiapas
37,37,50,"Jiquipilas, Chiapas",743,Chiapas
38,38,51,"La Trinitaria, Chiapas",17,Chiapas
39,39,52,"Mapastepec, Chiapas",35,Chiapas
40,40,53,"Mezcalapa, Chiapas",439,Chiapas
41,41,54,"Motozintla, Chiapas",8,Chiapas
42,42,55,"Ocosingo, Chiapas",70,Chiapas
43,43,56,"Ocozocoautla de Espinosa, Chiapas",1227,Chiapas
44,44,57,"Palenque, Chiapas",7730,Chiapas
45,45,58,"Pijijiapan, Chiapas",11296,Chiapas
46,46,59,"Salto de Agua, Chiapas",9,Chiapas
47,47,60,"San Cristobal de las Casas, Chiapas",700,Chiapas
48,48,61,"Siltepec, Chiapas",1,Chiapas
49,49,62,"Suchiate, Chiapas",28203,Chiapas
50,50,63,"Tapachula, Chiapas",70665,Chiapas
51,51,64,"Teopisca, Chiapas",1,Chiapas
52,52,65,"Tonala, Chiapas",230,Chiapas
53,53,66,"Tuxtla Chico, Chiapas",19703,Chiapas
