municipio_,cvemunic,p34e,p34m,p34l,p34u,p34_1,p34_1_1,p34_2,p34_2_1_1,p34_2_1_2,p34_2_1_3,p34_2_1_4,p34_2_1_5,p34_2_1_6,p34_2_2,p34_2_3_1,p34_2_3_2,p34_2_3_3,p34_3_0_1,p34_3_0_2,p34_3_0_3,p34_3_0_4,p34_3_1_1,p34_3_1_2,p34_3_1_3,p34_3_1_4,p34_4c,p34_4t,p34_5_1,p34_5_2,p34_5_3,p34_5_4,p34_5_5,p34_5_6,p34_5_7,p34_6,p34_7,p34_8,p34_9,p34_10_1,p34_10_2,p34_10_3,p34_10_4,p34_10_5,p34_10_6,p34_10_7,p34_10_8,p34_11,p34_12,p34_12_1,p34_13,p34_14,
"Benito Juarez, Ciudad de Mexico",9014,Distrito Federal,Benito Juárez,Benito Juárez (Distrito Federal),2,3,2,2,1,1,1,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,-32,2,-33,
"Cuernavaca, Morelos",17007,Morelos,Cuernavaca,Cuernavaca (Morelos),2,3,2,2,1,1,1,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,-32,2,-33,
"Cuauhtemoc, Ciudad de Mexico",9015,Distrito Federal,Cuauhtémoc,Cuauhtémoc (Distrito Federal),2,4,1,3,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,12,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Benito Juarez, Ciudad de Mexico",9014,Distrito Federal,Benito Juárez,Benito Juárez (Distrito Federal),2,4,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,-31,-31,-31,-31,1,3,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Puebla, Puebla",21114,Puebla,Puebla,Heróica Puebla de Zaragoza (Puebla),2,8,1,3,1,1,1,1,1,1,2,-30,-30,-30,1,1,1,2,2,2,1,2,8,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Puebla, Puebla",21114,Puebla,Puebla,Heróica Puebla de Zaragoza (Puebla),2,8,2,3,1,1,1,1,1,1,2,-30,-30,-30,1,2,2,2,2,2,1,2,5,2,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,
"Puebla, Puebla",21114,Puebla,Puebla,Heróica Puebla de Zaragoza (Puebla),2,4,1,2,1,1,1,1,1,2,2,-30,-30,-30,1,1,2,2,2,2,1,2,5,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,
"Puebla, Puebla",21114,Puebla,Puebla,Heróica Puebla de Zaragoza (Puebla),2,4,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,5,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,
"Axutla, Puebla",21024,Puebla,Axutla,No sabe,97,3,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-31,-31,-31,-31,4,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,-32,2,-33,
"Atlixco, Puebla",21019,Puebla,Atlixco,No sabe,97,4,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-31,-31,-31,-31,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,-32,2,-33,
"Atlixco, Puebla",21019,Puebla,Atlixco,Atlixco (Puebla),2,7,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,
"Puebla, Puebla",21114,Puebla,Puebla,Heróica Puebla de Zaragoza (Puebla),2,4,1,2,2,2,2,2,2,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Alvaro Obregon, Ciudad de Mexico",9010,Distrito Federal,Álvaro Obregón,Álvaro Obregón (Distrito Federal),2,4,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,-31,-31,-31,-31,8,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,-32,2,-33,
"Altar, Sonora",26004,Sonora,Altar,Altar (Sonora),1,6,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-31,-31,-31,-31,10,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,-32,2,-33,
"Comitan de Dominguez, Chiapas",7019,Chiapas,Comitán de Domínguez,Comitán de Domínguez (Chiapas),2,7,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-31,-31,-31,-31,6,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,-32,2,-33,
"Reynosa, Tamaulipas",28032,Tamaulipas,Reynosa,Reynosa (Tamaulipas),2,3,2,2,1,2,2,2,1,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,-32,2,-33,
"Alamos, Sonora",26003,Sonora,Alamos,Alamos (Sonora),1,3,2,2,1,2,2,2,1,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,6,2,1,2,2,2,1,1,1,2,2,3,2,1,2,2,2,2,2,1,2,2,2,-32,2,-33,
"Hermosillo, Sonora",26030,Sonora,Hermosillo,Hermosillo (Sonora),2,3,1,2,1,2,2,2,1,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,6,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,-32,2,-33,
"Oaxaca de Juarez, Oaxaca",20067,Oaxaca,Oaxaca de Juárez,Oaxaca de Juárez (Oaxaca),2,3,1,2,1,2,2,2,1,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,-32,2,-33,
"Centro, Tabasco",27004,Tabasco,Centro,Villahermosa (Tabasco),2,4,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Puebla, Puebla",21114,Puebla,Puebla,Heróica Puebla de Zaragoza (Puebla),2,3,1,2,1,1,1,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,
"Tapachula, Chiapas",7089,Chiapas,Tapachula,Tapachula de Córdova y Ordóñez (Chiapas),2,4,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,-32,2,-33,
"Cuajimalpa de Morelos, Ciudad de Mexico",9004,Distrito Federal,Cuajimalpa de Morelos,Cuajimalpa de Morelos (Distrito Federal),2,4,1,2,1,1,1,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,1,2,1,2,-32,2,-33,
"Cuauhtemoc, Ciudad de Mexico",9015,Distrito Federal,Cuauhtémoc,Cuauhtémoc (Distrito Federal),2,4,3,3,2,2,2,2,2,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,8,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Cuauhtemoc, Ciudad de Mexico",9015,Distrito Federal,Cuauhtémoc,Cuauhtémoc (Distrito Federal),2,4,1,3,2,2,2,2,2,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,1,3,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Cuauhtemoc, Ciudad de Mexico",9015,Distrito Federal,Cuauhtémoc,Cuauhtémoc (Distrito Federal),2,4,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Cuauhtemoc, Ciudad de Mexico",9015,Distrito Federal,Cuauhtémoc,Cuauhtémoc (Distrito Federal),2,4,1,3,2,2,2,2,1,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Benito Juarez, Ciudad de Mexico",9014,Distrito Federal,Benito Juárez,Benito Juárez (Distrito Federal),2,4,1,3,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,1,2,4,2,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
"Cuauhtemoc, Ciudad de Mexico",9015,Distrito Federal,Cuauhtémoc,Cuauhtémoc (Distrito Federal),2,4,1,4,1,2,2,1,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,
"Puebla, Puebla",21114,Puebla,Puebla,Heróica Puebla de Zaragoza (Puebla),2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,5,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,
