,Unnamed: 0,cvemunic,municipio_,frec_app,p34_2:4frec,p34_2:5frec,p34_2_score,p34_3_0_1frec,p34_3_0_2frec,p34_3_0_3frec,p34_3_0_4frec,p34_3_score,p34_5_1frec,p34_5_2frec,p34_5_3frec,p34_5_4frec,p34_5_5frec,p34_5_6frec,p34_5_7frec,p34_5_score,risk2_trato_general,risk2_abusos_autoridades,risk2_estado_instalaciones,risk2_trato_general_normalizado,risk2_abusos_autoridades_normalizado,risk2_estado_instalaciones_normalizado,risk2_trato_general_ajustado,risk2_abusos_autoridades_ajustado,risk2_estado_instalaciones_ajustado,risk2_trato_general_normalizado_ajustado,risk2_abusos_autoridades_normalizado_ajustado,risk2_estado_instalaciones_normalizado_ajustado
0,0,1001,"Aguascalientes, Aguascalientes",10,0,1,70,1,1,2,0,100,9,8,5,6,3,3,2,514.0799999999999,7.0,10.0,51.407999999999994,10.0,20.0,51.42857142857142,29.19226739969724,41.70323914242463,214.3880117833765,28.187134989484953,13.268622179933756,11.241026831717054
1,1,2001,"Ensenada, Baja California",3,0,1,70,1,1,1,0,75,2,2,3,2,2,2,2,214.2,23.333333333333332,25.0,71.39999999999999,33.33333333333333,50.0,71.42857142857142,50.49432643111372,54.10106403333613,154.51263887920797,48.75573301071097,17.21320916438062,8.101575759915045
2,2,2002,"Mexicali, Baja California",10,0,0,0,3,2,0,1,150,8,9,9,8,8,8,8,828.24,0.0,15.0,82.824,0.0,30.0,82.85714285714286,0.0,62.554858713636946,345.40290787321777,0.0,19.902933269900632,18.11054322887748
3,3,2004,"Tijuana, Baja California",15,4,0,120,6,1,1,0,200,10,9,10,9,9,9,6,885.36,8.0,13.333333333333334,59.024,11.428571428571429,26.666666666666668,59.04761904761905,43.2808512266689,72.13475204444818,319.32612035036317,41.790628294895114,22.95094555250749,16.7432565704911
4,4,4001,"Calkini, Campeche",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,57.12,0.0,0.0,57.12,0.0,0.0,57.14285714285714,0.0,0.0,82.40674073557759,0.0,0.0,4.320840405288025
5,5,4002,"Campeche, Campeche",3,0,0,0,1,1,0,0,50,3,1,1,0,1,0,1,99.96,0.0,16.666666666666668,33.32,0.0,33.333333333333336,33.333333333333336,0.0,36.06737602222409,72.10589814363038,0.0,11.475472776253746,3.780735354627022
6,6,4004,"Champoton, Campeche",1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57.12,0.0,0.0,57.12,0.0,0.0,57.14285714285714,0.0,0.0,82.40674073557759,0.0,0.0,4.320840405288025
7,7,4009,"Escarcega, Campeche",3,0,0,0,0,0,0,0,0,2,3,1,1,2,2,2,185.64,0.0,0.0,61.879999999999995,0.0,0.0,61.904761904761905,0.0,0.0,133.91095369531357,0.0,0.0,7.02136565859304
8,8,5002,"Acuna, Coahuila de Zaragoza",2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,99.96,0.0,0.0,49.98,0.0,0.0,50.0,0.0,0.0,90.98751309361866,0.0,0.0,4.770756851227447
9,9,5003,"Allende, Coahuila de Zaragoza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,5007,"Cuatro Cienegas, Coahuila de Zaragoza",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,28.56,0.0,0.0,28.56,0.0,0.0,28.57142857142857,0.0,0.0,41.20337036778879,0.0,0.0,2.1604202026440125
11,11,5015,"Juarez, Coahuila de Zaragoza",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,99.96,0.0,0.0,99.96,0.0,0.0,100.0,0.0,0.0,144.21179628726077,0.0,0.0,7.561470709254044
12,12,5017,"Matamoros, Coahuila de Zaragoza",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,99.96,0.0,0.0,99.96,0.0,0.0,100.0,0.0,0.0,144.21179628726077,0.0,0.0,7.561470709254044
13,13,5022,"Nava, Coahuila de Zaragoza",1,0,1,70,0,0,1,0,25,1,1,0,0,0,0,0,28.56,70.0,25.0,28.56,100.0,50.0,28.57142857142857,100.98865286222744,36.06737602222409,41.20337036778879,97.51146602142194,11.475472776253746,2.1604202026440125
14,14,5025,"Piedras Negras, Coahuila de Zaragoza",49,7,1,280,4,4,2,0,250,32,42,40,35,29,26,26,3284.4,5.714285714285714,5.1020408163265305,67.02857142857142,8.16326530612245,10.204081632653061,67.05539358600583,71.57422121789281,63.90555465883286,839.5656148858827,69.10981622677677,20.332681043582348,44.02102302928777
15,15,5030,"Saltillo, Coahuila de Zaragoza",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.28,0.0,0.0,14.28,0.0,0.0,14.285714285714285,0.0,0.0,20.601685183894396,0.0,0.0,1.0802101013220062
16,16,5035,"Torreon, Coahuila de Zaragoza",4,2,0,60,2,2,2,0,150,2,4,4,4,2,2,2,285.6,15.0,37.5,71.4,21.428571428571427,75.0,71.42857142857144,37.28009607357671,93.20024018394177,177.45325731022515,35.99648790753996,29.65330270525132,9.304423368669458
17,17,7001,"Acacoyagua, Chiapas",5,0,2,140,0,0,0,0,0,3,3,3,4,1,1,1,228.48,28.0,0.0,45.696,40.0,0.0,45.714285714285715,78.13548771717461,0.0,127.51711595442897,75.44516873588537,0.0,6.686116961592428
18,18,7002,"Acala, Chiapas",2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,57.12,0.0,0.0,28.56,0.0,0.0,28.57142857142857,0.0,0.0,51.99286462492495,0.0,0.0,2.7261467721299697
19,19,7009,"Arriaga, Chiapas",38,0,0,0,6,2,2,0,250,32,33,25,28,27,22,27,2770.32,0.0,6.578947368421052,72.90315789473685,0.0,13.157894736842104,72.93233082706769,0.0,68.23960510234934,756.1821712285619,0.0,21.711635748932633,39.648971067632374
20,20,7011,"Bella Vista, Chiapas",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,57.12,0.0,0.0,57.12,0.0,0.0,57.14285714285714,0.0,0.0,82.40674073557759,0.0,0.0,4.320840405288025
21,21,7012,"Berriozabal, Chiapas",1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,85.67999999999999,0.0,0.0,85.67999999999999,0.0,0.0,85.71428571428571,0.0,0.0,123.61011110336638,0.0,0.0,6.481260607932038
22,22,7019,"Comitan de Dominguez, Chiapas",33,0,0,0,3,0,0,0,75,20,19,16,10,8,7,7,1242.36,0.0,2.272727272727273,37.64727272727272,0.0,4.545454545454546,37.662337662337656,0.0,21.268386903850004,352.30657538489453,0.0,6.766912978631269,18.47252387831055
23,23,7027,"Chiapa de Corzo, Chiapas",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,28.56,0.0,0.0,28.56,0.0,0.0,28.57142857142857,0.0,0.0,41.20337036778879,0.0,0.0,2.1604202026440125
24,24,7034,"Frontera Comalapa, Chiapas",9,0,0,0,0,0,0,0,0,6,8,4,7,6,2,6,556.92,0.0,0.0,61.879999999999995,0.0,0.0,61.904761904761905,0.0,0.0,241.86728286155898,0.0,0.0,12.681850042568934
25,25,7035,"Frontera Hidalgo, Chiapas",3,0,0,0,1,0,0,0,25,2,2,3,3,3,3,3,271.32,0.0,8.333333333333334,90.44,0.0,16.666666666666668,90.47619047619048,0.0,18.033688011112044,195.71600924699678,0.0,5.737736388126873,10.26199596255906
26,26,7040,"Huixtla, Chiapas",8,0,0,0,0,0,0,0,0,6,8,7,7,6,4,6,628.3199999999999,0.0,0.0,78.53999999999999,0.0,0.0,78.57142857142857,0.0,0.0,285.9607554370872,0.0,0.0,14.993807246714832
27,27,7044,"Ixtapa, Chiapas",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,71.39999999999999,0.0,0.0,71.39999999999999,0.0,0.0,71.42857142857142,0.0,0.0,103.00842591947197,0.0,0.0,5.401050506610031
28,28,7051,"Mapastepec, Chiapas",3,0,0,0,2,1,1,0,100,3,3,2,2,2,2,2,228.48,0.0,33.333333333333336,76.16,0.0,66.66666666666667,76.1904761904762,0.0,72.13475204444818,164.81348147115517,0.0,22.95094555250749,8.64168081057605
29,29,7052,"Las Margaritas, Chiapas",1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,57.12,0.0,0.0,57.12,0.0,0.0,57.14285714285714,0.0,0.0,82.40674073557759,0.0,0.0,4.320840405288025
30,30,7057,"Motozintla, Chiapas",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,71.39999999999999,0.0,0.0,71.39999999999999,0.0,0.0,71.42857142857142,0.0,0.0,103.00842591947197,0.0,0.0,5.401050506610031
31,31,7060,"Ocotepec, Chiapas",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,99.96,0.0,0.0,99.96,0.0,0.0,100.0,0.0,0.0,144.21179628726077,0.0,0.0,7.561470709254044
32,32,7065,"Palenque, Chiapas",102,2,6,480,5,2,0,0,175,97,97,93,92,82,78,80,8839.32,4.705882352941177,1.7156862745098038,86.66,6.722689075630252,3.4313725490196076,86.69467787114846,103.56592612405356,37.758410566061194,1907.1924210559773,100.0,12.013505286840324,100.0
33,33,7069,"Pijijiapan, Chiapas",3,0,0,0,0,0,0,0,0,3,3,3,2,3,2,3,271.32,0.0,0.0,90.44,0.0,0.0,90.47619047619048,0.0,0.0,195.71600924699678,0.0,0.0,10.26199596255906
34,34,7070,"El Porvenir, Chiapas",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,42.84,0.0,0.0,42.84,0.0,0.0,42.85714285714287,0.0,0.0,61.805055551683196,0.0,0.0,3.240630303966019
35,35,7077,"Salto de Agua, Chiapas",2,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,99.96,0.0,0.0,49.98,0.0,0.0,50.0,0.0,0.0,90.98751309361866,0.0,0.0,4.770756851227447
36,36,7078,"San Cristobal de las Casas, Chiapas",16,2,0,60,2,0,0,0,50,10,14,16,16,14,12,16,1399.4399999999998,3.75,3.125,87.46499999999999,5.357142857142857,6.25,87.5,21.17736743188567,17.647806193238058,493.9409179813013,20.448199735614732,5.6149612715468455,25.898850715221243
37,37,7079,"San Fernando, Chiapas",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,99.96,0.0,0.0,99.96,0.0,0.0,100.0,0.0,0.0,144.21179628726077,0.0,0.0,7.561470709254044
38,38,7089,"Tapachula, Chiapas",34,6,0,180,1,0,0,0,25,28,28,26,27,27,26,28,2713.2,5.294117647058823,0.7352941176470589,79.8,7.563025210084033,1.4705882352941178,79.83193277310924,50.6279545312911,7.031660351568209,763.1320346349945,48.884760100197255,2.237246948227203,40.013373910769964
39,39,7092,"Tecpatan, Chiapas",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,7097,"Tonala, Chiapas",2,0,0,0,1,0,0,0,25,1,2,1,1,1,0,1,99.96,0.0,12.5,49.98,0.0,25.0,50.0,0.0,22.755980665670933,90.98751309361866,0.0,7.240217210837743,4.770756851227447
41,41,7099,"La Trinitaria, Chiapas",1,0,0,0,1,0,0,0,25,0,0,1,1,1,1,1,71.39999999999999,0.0,25.0,71.39999999999999,0.0,50.0,71.42857142857142,0.0,36.06737602222409,103.00842591947197,0.0,11.475472776253746,5.401050506610031
42,42,7101,"Tuxtla Gutierrez, Chiapas",180,4,0,120,30,4,4,0,950,126,133,85,87,73,48,74,8939.279999999999,0.6666666666666666,5.277777777777778,49.66266666666666,0.9523809523809523,10.555555555555555,49.68253968253968,23.083594984910512,182.74512696387487,1719.5893248059233,22.288793089399377,58.14359015678856,90.16338916939584
43,43,7102,"Tuxtla Chico, Chiapas",3,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,128.51999999999998,0.0,0.0,42.839999999999996,0.0,0.0,42.857142857142854,0.0,0.0,92.70758332752477,0.0,0.0,4.860945455949028
44,44,7106,"Venustiano Carranza, Chiapas",1,0,0,0,1,0,0,0,25,1,1,1,1,1,1,1,99.96,0.0,25.0,99.96,0.0,50.0,100.0,0.0,36.06737602222409,144.21179628726077,0.0,11.475472776253746,7.561470709254044
45,45,7108,"Villaflores, Chiapas",2,0,1,70,0,0,0,0,0,1,1,1,1,0,0,0,57.12,35.0,0.0,28.56,50.0,0.0,28.57142857142857,63.716745863878614,0.0,51.99286462492495,61.52288522728728,0.0,2.7261467721299697
